date,open,high,low,close,volume
2024-05-09,34.94,35.75,34.66,35.58,16930090.0
2024-05-10,35.8,35.995,34.26,34.58,28986035.0
2024-05-13,35.78,36.19,35.65,36.0,17204940.0
2024-05-14,35.34,35.495,34.8,35.07,13742748.0
2024-05-15,36.67,37.93,36.46,37.67,40518600.0
2024-05-16,37.635,37.91,36.8211,37.15,22092079.0
2024-05-17,37.84,38.54,37.54,38.28,25516871.0
2024-05-20,38.21,40.0499,38.07,39.97,32788580.0
2024-05-21,40.465,40.67,39.405,39.47,29875156.0
2024-05-22,39.77,40.33,39.445,39.71,20566823.0
2024-05-23,39.51,39.575,38.01,38.27,23933848.0
2024-05-24,38.43,39.59,38.16,39.46,19910862.0
2024-05-28,38.98,39.1,38.305,38.98,19703173.0
2024-05-29,38.66,38.74,38.24,38.32,14675489.0
2024-05-30,38.875,39.69,38.7852,39.16,26021376.0
2024-05-31,39.17,39.23,37.92,38.55,23144669.0
2024-06-03,39.78,40.12,39.09,39.44,27654000.0
2024-06-04,39.59,40.59,39.47,40.17,40569466.0
2024-06-05,40.58,41.0,40.111,40.67,30997617.0
2024-06-06,40.58,40.89,40.14,40.16,20192978.0
2024-06-07,40.69,40.89,38.89,39.42,35710320.0
2024-06-10,39.465,40.02,39.4,39.59,15895680.0
2024-06-11,38.29,38.535,37.62,38.43,29402910.0
2024-06-12,39.49,39.96,38.3,38.45,27518624.0
2024-06-13,38.78,38.935,37.68,37.9,24858536.0
2024-06-14,38.36,38.3899,37.025,37.3,22309008.0
2024-06-17,37.385,38.34,37.0201,37.98,17785637.0
2024-06-18,36.949,37.23,36.4399,36.64,25778215.0
2024-06-20,37.22,37.31,36.73,37.04,15271087.0
2024-06-21,36.21,36.675,36.06,36.58,21001034.0
2024-06-24,34.87,35.14,33.58,33.765,46597005.0
2024-06-25,34.885,35.565,34.73,35.3,31346229.0
2024-06-26,35.03,35.33,34.5601,34.71,13026589.0
2024-06-27,35.08,35.56,34.935,34.98,14788756.0
2024-06-28,35.03,35.225,34.1,34.14,18223147.0
2024-07-01,35.82,36.405,35.5802,36.0,18509918.0
2024-07-02,35.82,35.975,35.15,35.22,13772242.0
2024-07-03,34.35,34.6,34.11,34.44,12793340.0
2024-07-05,31.675,32.5378,31.57,32.2,47018318.0
2024-07-08,32.6,32.72,31.34,32.16,28999053.0
2024-07-09,32.62,33.235,32.441,32.96,18029700.0
2024-07-10,33.06,33.09,32.67,32.67,17248800.0
2024-07-11,33.52,33.64,32.57,32.7,21952222.0
2024-07-12,32.8,33.4099,32.772,32.85,16920991.0
2024-07-15,35.79,36.47,35.61,36.15,34245891.0
2024-07-16,36.425,37.22,35.97,37.17,27810528.0
2024-07-17,36.87,37.3,36.39,36.84,32704074.0
2024-07-18,36.995,37.07,36.03,36.22,22725779.0
2024-07-19,36.56,38.53,36.5,38.4,46756055.0
2024-07-22,38.56,38.96,37.95,38.93,24116204.0
2024-07-23,37.95,38.4,37.2727,37.34,35482190.0
2024-07-24,37.99,38.28,37.36,37.42,23403029.0
2024-07-25,36.62,37.15,36.09,36.83,21928801.0
2024-07-26,38.46,38.89,38.13,38.79,28993204.0
2024-07-29,39.73,39.745,37.83,38.34,38158742.0
2024-07-30,37.98,38.14,37.32,37.55,19556049.0
2024-07-31,37.87,38.09,36.995,37.18,20532966.0
2024-08-01,36.8,36.98,35.43,36.07,37068050.0
2024-08-02,36.93,37.32,35.49,35.61,35706119.0
2024-08-05,28.35,31.66,28.23,30.48,97633006.0
2024-08-06,31.43,32.535,31.0,32.34,39663758.0
2024-08-07,32.65,32.79,31.12,31.19,24351454.0
2024-08-08,32.91,34.14,32.3,33.88,32889358.0
2024-08-09,34.41,34.835,33.93,34.6,18872717.0
2024-08-12,33.93,34.6,32.945,33.64,20819164.0
2024-08-13,33.57,35.125,33.54,34.64,20186031.0
2024-08-14,34.635,34.74,33.43,33.56,19032543.0
2024-08-15,33.72,34.12,32.29,32.5,29136123.0
2024-08-16,33.36,34.1355,32.85,34.03,22686484.0
2024-08-19,33.47,33.795,33.1,33.62,13480151.0
2024-08-20,34.52,34.7697,33.35,33.92,21676586.0
2024-08-21,33.88,35.145,33.53,35.13,22993901.0
2024-08-22,34.66,34.735,34.24,34.35,15825085.0
2024-08-23,34.805,36.44,34.64,36.28,51673290.0
2024-08-26,36.34,36.415,35.92,36.09,19479653.0
2024-08-27,35.56,35.5872,34.99,35.38,19488634.0
2024-08-28,34.1,34.2,32.93,33.52,36007387.0
2024-08-29,34.3,34.825,33.52,33.69,22692502.0
2024-08-30,33.9,34.07,32.84,33.37,22832260.0
2024-09-03,33.64,33.65,32.7,32.98,23729710.0
2024-09-04,32.1,33.3083,31.92,33.04,19751856.0
2024-09-05,32.23,32.6,31.71,31.85,20575413.0
2024-09-06,32.285,32.38,30.24,30.41,40486810.0
2024-09-09,31.52,32.58,31.1737,32.51,24533687.0
2024-09-10,32.41,33.06,32.15,33.0,12648720.0
2024-09-11,32.33,33.015,31.58,32.8,20530578.0
2024-09-12,32.87,33.35,32.61,33.25,15890670.0
2024-09-13,32.88,34.225,32.8,34.04,33124995.0
2024-09-16,33.31,33.33,32.69,32.98,20931180.0
2024-09-17,33.76,34.97,33.5201,34.1,39849912.0
2024-09-18,34.08,34.93,33.66,34.15,28844922.0
2024-09-19,36.03,36.3962,35.665,36.01,25199431.0
2024-09-20,35.85,36.1955,35.515,35.8,15938421.0
2024-09-23,36.06,36.355,35.89,36.04,17294801.0
2024-09-24,36.14,36.69,35.69,36.64,19764103.0
2024-09-25,36.15,36.45,35.83,35.97,13547134.0
2024-09-26,36.655,37.53,36.52,36.84,41457113.0
2024-09-27,37.42,37.94,37.245,37.39,28884545.0
2024-09-30,36.42,36.49,35.86,36.13,23623984.0
2024-10-01,36.07,36.1,34.69,35.13,43920514.0
2024-10-02,34.63,35.51,34.135,34.24,29353609.0
2024-10-03,34.4,34.75,34.06,34.72,18482525.0
2024-10-04,35.04,35.6,34.575,35.52,22721190.0
2024-10-07,35.91,36.7297,35.69,36.06,21124067.0
2024-10-08,35.63,35.99,35.16,35.4,25203180.0
2024-10-09,35.21,35.495,34.56,34.68,18243990.0
2024-10-10,34.76,34.76,33.465,33.95,25996472.0
2024-10-11,34.94,36.145,34.94,35.94,33399382.0
2024-10-14,36.87,37.815,36.82,37.57,44553135.0
2024-10-15,37.53,38.745,36.875,38.17,53538980.0
2024-10-16,38.66,38.93,38.24,38.58,26627479.0
2024-10-17,38.16,38.54,37.94,38.05,19655515.0
2024-10-18,38.61,39.37,38.56,39.07,39820519.0
2024-10-21,38.64,38.67,38.02,38.57,28773411.0
2024-10-22,38.18,38.55,37.8909,38.41,23972920.0
2024-10-23,37.86,38.08,37.09,37.81,25771162.0
2024-10-24,38.47,38.92,38.3,38.87,27015528.0
2024-10-25,38.72,39.2,37.47,38.01,51745568.0
2024-10-28,39.25,39.84,38.95,39.67,54652311.0
2024-10-29,40.56,41.96,40.36,41.33,81566346.0
2024-10-30,40.88,41.28,40.6215,40.88,32004733.0
2024-10-31,40.98,41.01,39.725,39.78,48039769.0
2024-11-01,39.925,40.7983,39.1,39.37,49930218.0
2024-11-04,39.03,39.12,38.1701,38.25,36048942.0
2024-11-05,39.43,40.13,39.11,39.51,36660442.0
2024-11-06,42.32,43.63,41.86,43.4,97138123.0
2024-11-07,42.71,43.84,42.47,43.6,40670192.0
2024-11-08,43.44,44.09,43.1,43.69,44183719.0
2024-11-11,46.66,49.89,46.53,49.57,96319189.0
2024-11-12,49.02,51.26,48.515,51.05,77294935.0
2024-11-13,51.24,53.255,50.86,51.04,103319316.0
2024-11-14,51.99,52.3,49.7,49.73,60782759.0
2024-11-15,50.84,52.17,49.925,52.13,46939425.0
2024-11-18,51.5,52.8053,51.04,52.13,61563829.0
2024-11-19,52.16,53.66,51.91,52.7,80884031.0
2024-11-20,53.88,54.17,53.06,53.72,69914563.0
2024-11-21,55.41,56.505,54.41,55.9,93957586.0
2024-11-22,55.64,56.86,55.31,56.49,66020372.0
2024-11-25,55.41,55.49,53.67,54.02,69396705.0
2024-11-26,52.44,53.995,51.54,51.7,67423310.0
2024-11-27,53.83,55.49,53.66,55.03,61783541.0
2024-11-29,55.48,56.36,55.21,55.21,30337331.0
2024-12-02,54.66,55.545,53.75,54.48,52619439.0
2024-12-03,53.62,54.94,53.2833,54.46,39000438.0
2024-12-04,54.61,56.61,53.9,56.42,58655320.0
2024-12-05,58.595,59.16,55.7,56.4,89447615.0
2024-12-06,56.6,58.21,56.18,57.8,50016990.0
2024-12-09,56.41,57.25,54.635,54.73,55677607.0
2024-12-10,55.8,56.0,53.62,54.9,48810003.0
2024-12-11,56.19,57.98,56.04,57.72,48872589.0
2024-12-12,57.77,58.45,56.47,56.92,38811349.0
2024-12-13,57.2,58.09,56.73,57.91,37881688.0
2024-12-16,59.43,61.465,59.38,60.22,63994128.0
2024-12-17,61.37,61.75,60.15,60.73,49617650.0
2024-12-18,59.56,59.785,56.82,57.18,69862682.0
2024-12-19,58.195,58.48,54.28,54.72,79563946.0
2024-12-20,54.075,55.66,53.93,54.81,55327879.0
2024-12-23,54.27,54.34,52.5,52.87,44528518.0
2024-12-24,55.055,56.408,54.88,56.23,27692664.0
2024-12-26,54.42,54.96,54.06,54.3,26750363.0
2024-12-27,54.78,54.82,52.96,53.68,35983044.0
2024-12-30,52.8,53.94,51.77,53.55,39339961.0
2024-12-31,54.478,54.73,52.9,53.05,30143608.0
2025-01-02,54.895,55.73,54.59,55.37,41029151.0
2025-01-03,55.23,56.41,54.97,55.96,32839480.0
2025-01-06,56.365,58.455,56.24,58.17,47318389.0
2025-01-07,57.31,57.382,54.58,54.79,57081839.0
2025-01-08,54.27,54.61,52.51,53.34,47070972.0
2025-01-10,53.7,54.5464,52.3912,53.84,43996088.0
2025-01-13,51.65,53.33,50.69,53.22,44866491.0
2025-01-14,55.04,55.33,54.18,54.83,30772842.0
2025-01-15,56.14,57.35,53.9662,56.64,42124740.0
2025-01-16,56.53,57.29,55.3,57.09,35548005.0
2025-01-17,58.515,60.41,58.26,59.62,70766122.0
2025-01-21,59.87,61.08,58.41,60.42,63410700.0
2025-01-22,59.55,59.86,58.76,59.38,37667944.0
2025-01-23,58.23,60.82,58.16,58.79,118197641.0
2025-01-24,59.92,61.06,59.56,59.7,46082299.0
2025-01-27,57.32,58.2,56.15,57.67,61243064.0
2025-01-28,58.34,59.06,57.545,57.58,30257022.0
2025-01-29,58.12,59.67,57.66,59.34,38059401.0
2025-01-30,59.73,60.67,59.6,59.72,33479299.0
2025-01-31,59.61,60.4,57.65,57.71,41862067.0
2025-02-03,53.97,58.135,53.69,57.58,73749486.0
2025-02-04,56.51,57.4252,55.73,56.13,48472977.0
2025-02-05,56.21,56.47,54.87,55.33,24705047.0
2025-02-06,55.93,56.315,54.4101,55.12,28324404.0
2025-02-07,56.74,57.05,54.36,54.47,41065984.0
2025-02-10,55.61,55.77,55.08,55.38,21318766.0
2025-02-11,55.11,55.36,53.87,54.11,27542729.0
2025-02-12,53.83,55.56,53.7,55.16,34445186.0
2025-02-13,54.57,54.88,54.12,54.74,24211237.0
2025-02-14,54.94,56.36,54.75,55.33,27505401.0
2025-02-18,54.9,54.99,53.03,53.51,38190453.0
2025-02-19,54.83,55.0,54.22,54.65,29008570.0
2025-02-20,55.63,56.2,55.01,56.04,25814891.0
2025-02-21,56.39,56.55,53.79,53.92,48588622.0
2025-02-24,54.23,54.47,53.19,53.41,38111606.0
2025-02-25,50.655,50.66,48.67,50.03,103835173.0
2025-02-26,48.71,50.2299,46.69,47.96,86382553.0
2025-02-27,49.01,49.09,46.9,47.35,43346479.0
2025-02-28,46.54,48.44,46.065,47.9,59648323.0
