date,equity,spot,realized_equity
2024-11-25,100000.0,54.02,100000.0
2024-11-26,100000.0,51.7,100000.0
2024-11-27,96068.2625,55.03,96105.34999999999
2024-11-29,96746.5875,55.21,96105.34999999999
2024-12-02,97464.15,54.48,97464.15
2024-12-03,97464.15,54.46,97464.15
2024-12-04,99920.15,56.42,99920.15
2024-12-05,99281.34999999999,56.4,99281.34999999999
2024-12-06,99759.34999999999,57.8,99281.34999999999
2024-12-09,101623.54999999999,54.73,101623.54999999999
2024-12-10,101623.54999999999,54.9,101623.54999999999
2024-12-11,96457.76249999998,57.72,96457.76249999998
2024-12-12,96457.76249999998,56.92,96457.76249999998
2024-12-13,101309.36249999999,57.91,101309.36249999999
2024-12-16,101309.36249999999,60.22,101309.36249999999
2024-12-17,101309.36249999999,60.73,101309.36249999999
2024-12-18,101270.76249999998,57.18,101270.76249999998
2024-12-19,99840.54999999997,54.72,103019.79999999997
2024-12-20,111257.37499999997,54.81,110380.99999999997
2024-12-23,93922.02499999998,52.87,93922.02499999998
2024-12-24,93922.02499999998,56.23,93922.02499999998
2024-12-26,93922.02499999998,54.3,93922.02499999998
2024-12-27,93922.02499999998,53.68,93922.02499999998
2024-12-30,93922.02499999998,53.55,93922.02499999998
2024-12-31,93922.02499999998,53.05,93922.02499999998
2025-01-02,92971.62499999999,55.37,92971.62499999999
2025-01-03,92971.62499999999,55.96,92971.62499999999
2025-01-06,92971.62499999999,58.17,92971.62499999999
2025-01-07,92971.62499999999,54.79,92971.62499999999
2025-01-08,92971.62499999999,53.34,92971.62499999999
2025-01-10,92971.62499999999,53.84,92971.62499999999
2025-01-13,92971.62499999999,53.22,92971.62499999999
2025-01-14,92971.62499999999,54.83,92971.62499999999
2025-01-15,92971.62499999999,56.64,92971.62499999999
2025-01-16,92971.62499999999,57.09,92971.62499999999
2025-01-17,92971.62499999999,59.62,92971.62499999999
2025-01-21,93166.42499999999,60.42,93166.42499999999
2025-01-22,93881.42499999997,59.38,93881.42499999997
2025-01-23,93881.42499999997,58.79,93881.42499999997
2025-01-24,101400.62499999996,59.7,101157.62499999996
2025-01-27,103830.59798626555,57.67,103782.02499999995
2025-01-28,105060.87675254018,57.58,103810.87675254018
2025-01-29,105302.88925254018,59.34,105666.88925254018
2025-01-30,105757.88925254018,59.72,105666.88925254018
2025-01-31,106831.68925254018,57.71,106831.68925254018
2025-02-03,106831.68925254018,57.58,106831.68925254018
2025-02-04,106831.68925254018,56.13,106831.68925254018
2025-02-05,107221.68925254018,55.33,106831.68925254018
2025-02-06,107403.68925254018,55.12,107403.68925254018
2025-02-07,107939.68925254018,54.47,107403.68925254018
2025-02-10,110030.08925254017,55.38,110030.08925254017
2025-02-11,110030.08925254017,54.11,110030.08925254017
2025-02-12,110030.08925254017,55.16,110030.08925254017
2025-02-13,110030.08925254017,54.74,110030.08925254017
2025-02-14,110030.08925254017,55.33,110030.08925254017
2025-02-18,110030.08925254017,53.51,110030.08925254017
2025-02-19,108822.08925254017,54.65,109214.08925254017
2025-02-20,107815.13925254018,56.04,107815.13925254018
2025-02-21,107815.13925254018,53.92,107815.13925254018
2025-02-24,107978.33925254017,53.41,107894.33925254017
2025-02-25,106936.73925254017,50.03,106936.73925254017
2025-02-26,106094.33925254016,47.96,106094.33925254016
2025-02-27,121814.33925254016,47.35,118394.33925254016
2025-02-28,122281.93925254016,47.9,118405.93925254016
2025-03-03,121255.93925254016,48.9,119203.93925254016
2025-03-04,120156.28925254015,49.39,119203.93925254016
2025-03-05,119053.96425254016,51.44,122645.33925254016
2025-03-06,121789.78925254015,50.64,122645.33925254016
2025-03-07,133705.78925254015,49.43,133517.53925254015
2025-03-10,112693.11425254014,44.91,112693.11425254014
2025-03-11,112693.11425254014,47.24,112693.11425254014
2025-03-12,112774.31425254013,47.15,112774.31425254013
2025-03-13,112826.31425254013,45.52,112774.31425254013
2025-03-14,112971.91425254014,48.14,112971.91425254014
2025-03-17,112971.91425254014,48.06,112971.91425254014
2025-03-18,112971.91425254014,46.81,112971.91425254014
2025-03-19,112971.91425254014,48.61,112971.91425254014
2025-03-20,112971.91425254014,47.85,112971.91425254014
2025-03-21,112971.91425254014,47.7,112971.91425254014
2025-03-24,112971.91425254014,50.18,112971.91425254014
2025-03-25,112971.91425254014,50.14,112971.91425254014
2025-03-26,112971.91425254014,49.18,112971.91425254014
2025-03-27,112971.91425254014,49.44,112971.91425254014
2025-03-28,112971.91425254014,47.56,112971.91425254014
2025-03-31,112971.91425254014,46.81,112971.91425254014
