entry,exit,structure,expiry,dte_at_entry,qty,credit,width,credit_ratio,pop,ev_per_ct,entry_spot,exit_debit,reason,pnl,risk
2024-11-26,2024-11-27,call_credit,2024-11-29,3,42,0.24,1.0,0.24,0.7677,-0.95,51.7,0.7172500000000002,stop_loss,-2180.85,3192.0
2024-11-26,2024-11-27,call_credit,2024-12-06,10,76,0.12,1.0,0.12,0.8881,-2.23,51.7,0.3035000000000001,stop_loss,-1713.8,6688.0
2024-11-26,2024-12-02,iron_condor,2024-12-06,10,43,0.96,2.0,0.48,0.5417,-3.66,51.7,0.56,profit_target,1358.8,4472.0
2024-12-03,2024-12-04,put_credit,2024-12-13,10,246,0.21,1.0,0.21,0.8335,1.57,54.46,0.10000000000000002,profit_target,1672.8,19434.0
2024-12-03,2024-12-04,put_credit,2024-12-13,10,89,0.3,1.0,0.3,0.7192,-0.98,54.46,0.17000000000000004,profit_target,783.2,6230.0
2024-12-04,2024-12-05,call_credit,2024-12-06,2,3,0.18,1.0,0.18,0.8206,-1.24,56.42,0.09000000000000001,profit_target,14.4,246.0
2024-12-04,2024-12-05,call_credit,2024-12-13,9,46,0.11,1.0,0.11,0.8945,-2.61,56.42,0.21000000000000002,stop_loss,-653.2,4094.0
2024-12-05,2024-12-09,call_credit,2024-12-13,8,239,0.17,1.0,0.17,0.9189,5.55,56.4,0.029999999999999985,profit_target,2342.2,19837.0
2024-12-10,2024-12-11,call_credit,2024-12-20,10,107,0.2,1.0,0.2,0.8168,-1.07,54.9,0.364625,stop_loss,-2210.89,8560.0
2024-12-10,2024-12-11,call_credit,2024-12-20,10,225,0.1,1.0,0.1,0.9263,-0.63,54.9,0.17999999999999994,stop_loss,-2745.0,20250.0
2024-12-10,2024-12-11,call_credit,2024-12-13,3,8,0.15,1.0,0.15,0.8511,-1.49,54.9,0.4943749999999999,stop_loss,-309.1,680.0
2024-12-10,2024-12-11,put_credit,2024-12-13,3,124,0.1,1.0,0.1,0.911,-0.89,54.9,0.05,profit_target,99.2,11160.0
2024-12-12,2024-12-13,iron_condor,2024-12-20,8,311,0.38,1.0,0.38,0.7486,5.35,56.92,0.14,profit_target,4851.6,19282.0
2024-12-17,2024-12-18,call_credit,2024-12-27,10,193,0.1,1.0,0.1,0.9172,-1.51,60.73,0.06000000000000001,profit_target,-38.6,17370.0
2024-12-18,2024-12-19,call_credit,2024-12-27,9,289,0.3,1.0,0.3,0.8031,7.11,57.18,0.1,profit_target,4566.2,20230.0
2024-12-18,2024-12-19,put_credit,2024-12-20,2,31,0.16,1.0,0.16,0.8441,-0.59,57.18,0.43237500000000006,stop_loss,-974.56,2604.0
2024-12-18,2024-12-19,put_credit,2024-12-20,2,83,0.12,1.0,0.12,0.8887,-0.56,57.18,0.3,stop_loss,-1842.6,7304.0
2024-12-19,2024-12-20,call_credit,2024-12-20,1,286,0.28,1.0,0.28,0.8351,10.03,54.72,0.0,expired,6806.8,20592.0
2024-12-19,2024-12-20,put_credit,2024-12-20,1,63,0.13,1.0,0.13,0.877,0.36,54.72,0.0,expired,554.4,5481.0
2024-12-18,2024-12-23,iron_condor,2024-12-27,9,405,0.5,1.0,0.5,0.6592,7.46,57.18,0.9347499999999997,stop_loss,-21009.37,20250.0
2024-12-19,2024-12-23,call_credit,2024-12-27,8,288,0.3,1.0,0.3,0.7589,2.92,54.72,0.1,profit_target,4550.4,20160.0
2024-12-31,2025-01-02,call_credit,2025-01-10,10,72,0.11,1.0,0.11,0.8976,-2.21,53.05,0.2,stop_loss,-950.4,6408.0
2025-01-17,2025-01-21,call_credit,2025-01-24,7,6,0.26,5.0,0.052,0.9497,10.42,59.62,0.12,profit_target,58.8,2844.0
2025-01-17,2025-01-21,call_credit,2025-01-24,7,20,0.19,5.0,0.038,0.9659,7.59,59.62,0.08,profit_target,136.0,9620.0
2025-01-21,2025-01-22,call_credit,2025-01-31,10,100,0.14,2.0,0.07,0.9606,3.91,60.42,0.08000000000000002,profit_target,180.0,18600.0
2025-01-21,2025-01-22,call_credit,2025-01-31,10,38,0.15,5.0,0.03,0.9875,8.04,60.42,0.07,profit_target,144.4,18430.0
2025-01-21,2025-01-22,call_credit,2025-01-24,3,18,0.15,5.0,0.03,0.9728,7.07,60.42,0.05,profit_target,104.4,8730.0
2025-01-21,2025-01-22,call_credit,2025-01-24,3,159,0.12,1.0,0.12,0.8981,-0.45,60.42,0.060000000000000005,profit_target,286.2,13992.0
2025-01-23,2025-01-24,call_credit,2025-01-31,8,243,0.23,1.0,0.23,0.9567,14.91,58.79,0.09,profit_target,2381.4,18711.0
2025-01-23,2025-01-24,iron_condor,2025-01-24,1,104,0.5,2.0,0.25,0.7918,13.79,58.79,0.0,expired,4326.4,15600.0
2025-01-23,2025-01-24,call_credit,2025-01-24,1,98,0.1,2.0,0.05,0.9804,4.42,58.79,0.0,expired,568.4,18620.0
2025-01-23,2025-01-27,call_credit,2025-01-31,8,243,0.23,1.0,0.23,0.8415,4.23,58.79,0.08000000000000002,profit_target,2624.4,18711.0
2025-01-24,2025-01-28,call_credit,2025-01-31,7,16,0.11,2.0,0.055,0.9467,-0.53,59.7,0.049967654662354415,profit_target,28.85,3024.0
2025-01-27,2025-01-29,put_credit,2025-01-31,4,250,0.17,1.0,0.17,0.8684,1.86,57.67,0.029999999999999992,profit_target,2450.0,20750.0
2025-01-28,2025-01-29,call_credit,2025-02-07,10,41,0.19,1.0,0.19,0.8161,-2.02,57.58,0.292875,stop_loss,-593.99,3321.0
2025-01-28,2025-01-31,call_credit,2025-02-07,10,91,0.22,2.5,0.088,0.9331,6.17,57.58,0.05,profit_target,1164.8,20748.0
2025-02-04,2025-02-06,call_credit,2025-02-14,10,65,0.25,1.0,0.25,0.7615,-1.51,56.13,0.12,profit_target,572.0,4875.0
