date,equity,spot,realized_equity
2024-11-25,100000.0,54.02,100000.0
2024-11-26,100115.075,51.7,100000.0
2024-11-27,100533.90000000001,55.03,100372.8
2024-11-29,100878.8,55.21,100551.0
2024-12-02,100643.8,54.48,100474.8
2024-12-03,100666.83750000001,54.46,100474.8
2024-12-04,101169.6375,56.42,100813.2
2024-12-05,101162.2375,56.4,100998.8625
2024-12-06,102276.70099134267,57.8,100998.8625
2024-12-09,101411.52500000001,54.73,101052.07500000001
2024-12-10,101179.71355757491,54.9,100898.17500000002
2024-12-11,102147.02500000002,57.72,101685.98750000002
2024-12-12,102185.07500000001,56.92,101685.98750000002
2024-12-13,102478.70000000001,57.91,102408.50000000001
2024-12-16,103347.95000000001,60.22,102408.50000000001
2024-12-17,103443.6125,60.73,103227.65000000001
2024-12-18,103353.4125,57.18,103480.70000000001
2024-12-19,103248.425,54.72,102866.0375
2024-12-20,103150.7625,54.81,103141.9375
2024-12-23,102581.4625,52.87,102861.4375
2024-12-24,103193.725,56.23,103171.2375
2024-12-26,103127.75,54.3,103171.2375
2024-12-27,102890.15000000001,53.68,102658.05
2024-12-30,102591.2,53.55,102707.05
2024-12-31,103035.34700910919,53.05,102707.05
2025-01-02,103467.29999999999,55.37,103355.84999999999
2025-01-03,103967.125,55.96,103630.075
2025-01-06,104152.3125,58.17,103982.875
2025-01-07,103579.025,54.79,104028.25
2025-01-08,103760.8,53.34,104028.25
2025-01-10,103762.2125,53.84,104028.25
2025-01-13,103919.325,53.22,104398.25
2025-01-14,104681.05,54.83,104398.25
2025-01-15,105053.61865100503,56.64,104577.45
2025-01-16,105082.50586641397,57.09,104577.45
2025-01-17,105635.625,59.62,105452.65
2025-01-21,106211.3875,60.42,105687.84999999999
2025-01-22,106130.2125,59.38,105687.84999999999
2025-01-23,105836.72499999999,58.79,105701.59999999999
2025-01-24,106125.575,59.7,106097.9875
2025-01-27,105459.40000000001,57.67,105412.27500000001
2025-01-28,105983.96250000001,57.58,105412.27500000001
2025-01-29,106046.75000000001,59.34,105850.87500000001
2025-01-30,106564.88750000001,59.72,106501.63750000001
2025-01-31,106431.975,57.71,106501.63750000001
2025-02-03,105620.60000000002,57.58,105623.23750000002
