entry,exit,structure,expiry,dte_at_entry,qty,credit,width,credit_ratio,pop,ev_per_ct,entry_spot,exit_debit,reason,pnl,risk
2024-12-05,2024-12-06,put_credit,2024-12-27,22,7,0.67,2.0,0.335,0.795,15.93,56.4,0.24000000000000005,profit_target,212.8,931.0
2024-12-05,2024-12-09,put_credit,2025-01-03,29,8,0.85,2.0,0.425,0.7448,22.47,56.4,0.741375,trail,-13.9,920.0
2024-12-10,2024-12-11,put_credit,2025-01-03,24,18,0.46,1.0,0.46,0.7057,4.16,54.9,0.21112500000000012,profit_target,221.17,972.0
2024-12-10,2024-12-12,put_credit,2025-01-03,24,6,0.95,2.5,0.38,0.7052,12.22,54.9,0.4115,profit_target,247.5,930.0
2024-12-12,2024-12-13,put_credit,2025-01-03,22,20,0.5,1.0,0.5,0.7341,10.79,56.92,0.24187499999999995,profit_target,264.25,1000.0
2024-12-13,2024-12-17,put_credit,2025-01-10,28,19,0.49,1.0,0.49,0.705,6.94,57.91,0.21262499999999995,profit_target,287.61,969.0
2024-12-13,2024-12-17,put_credit,2025-01-10,28,8,0.8,2.0,0.4,0.6964,8.42,57.91,0.3225,profit_target,281.2,960.0
2024-12-19,2024-12-20,put_credit,2025-01-03,15,8,0.76,2.0,0.38,0.7288,11.72,54.72,0.37312500000000015,profit_target,208.7,992.0
2024-12-18,2024-12-23,put_credit,2025-01-03,16,19,0.49,1.0,0.49,0.727,9.14,57.18,0.5882500000000002,trail,-426.08,969.0
2024-12-18,2024-12-26,put_credit,2025-01-24,37,7,0.73,2.0,0.365,0.7429,10.89,57.18,0.5943749999999997,trail,6.74,889.0
2024-12-30,2024-12-31,put_credit,2025-01-24,25,16,0.37,1.0,0.37,0.8553,10.36,53.55,0.16086019390626805,profit_target,133.02,1008.0
2024-12-30,2025-01-02,put_credit,2025-02-07,39,8,0.85,2.0,0.425,0.736,20.7,53.55,0.3477500000000001,profit_target,301.0,920.0
2025-01-13,2025-01-14,put_credit,2025-01-31,18,7,0.68,2.0,0.34,0.7491,8.51,53.22,0.3,profit_target,177.8,924.0
2025-01-13,2025-01-15,put_credit,2025-02-14,32,5,0.76,2.5,0.304,0.7721,11.13,53.22,0.24000000000000005,profit_target,197.0,870.0
2025-01-17,2025-01-23,put_credit,2025-02-14,28,19,0.48,1.0,0.48,0.6768,3.16,59.62,0.431125,trail,-146.54,988.0
2025-01-21,2025-01-24,put_credit,2025-02-14,24,6,0.88,2.5,0.352,0.7076,6.32,60.42,0.7618749999999999,trail,-4.72,972.0
2025-01-23,2025-01-24,put_credit,2025-02-07,15,17,0.41,1.0,0.41,0.7743,6.28,58.79,0.16000000000000003,profit_target,210.8,1003.0
2025-01-23,2025-01-27,put_credit,2025-02-28,36,7,1.06,2.5,0.424,0.676,14.27,58.79,0.9730000000000001,trail,-27.3,1008.0
2025-01-27,2025-01-28,put_credit,2025-02-14,18,9,0.9,2.0,0.45,0.728,23.96,57.67,0.2888276374449238,profit_target,436.66,990.0
2025-01-27,2025-01-29,put_credit,2025-03-07,39,9,0.93,2.0,0.465,0.7076,22.43,57.67,0.46162499999999995,profit_target,308.14,963.0
2025-01-29,2025-01-30,put_credit,2025-02-28,30,7,1.16,2.5,0.464,0.713,32.5,59.34,0.5608750000000001,profit_target,331.19,938.0
2025-01-29,2025-01-30,put_credit,2025-02-28,30,20,0.5,1.0,0.5,0.7282,10.2,59.34,0.2191249999999998,profit_target,309.75,1000.0
2025-02-03,2025-02-07,put_credit,2025-03-14,39,7,1.08,2.5,0.432,0.7372,31.24,57.58,0.13087499999999985,profit_target,576.19,994.0
2025-02-04,2025-02-10,iron_condor,2025-03-07,31,8,1.25,2.5,0.5,0.5488,25.88,56.13,0.5255000000000001,profit_target,378.0,1000.0
2025-02-07,2025-02-10,put_credit,2025-02-28,21,19,0.46,1.0,0.46,0.7686,10.46,54.47,0.19999999999999996,profit_target,254.6,1026.0
2025-02-04,2025-02-13,iron_condor,2025-02-28,24,10,1.0,2.0,0.5,0.5305,7.2,56.13,0.466625,profit_target,281.37,1000.0
2025-02-12,2025-02-18,put_credit,2025-03-14,30,7,0.63,2.0,0.315,0.7782,9.4,55.16,0.5667500000000001,trail,-43.93,959.0
2025-02-13,2025-02-18,put_credit,2025-03-07,22,7,0.68,2.0,0.34,0.7229,3.83,54.74,0.6074999999999998,trail,-37.45,924.0
2025-02-14,2025-02-18,call_credit,2025-03-14,28,5,0.58,2.5,0.232,0.8608,15.31,55.33,0.19000000000000006,profit_target,132.0,960.0
2025-02-03,2025-02-20,put_credit,2025-03-07,32,7,1.2,2.5,0.48,0.7252,39.07,57.58,0.500375,profit_target,401.54,910.0
2025-02-21,2025-02-24,call_credit,2025-03-28,35,14,0.28,1.0,0.28,0.9046,6.3,53.92,0.10000000000000003,profit_target,75.6,1008.0
2025-03-03,2025-03-04,call_credit,2025-03-28,25,15,0.34,1.0,0.34,0.9464,16.25,48.9,0.07999999999999996,profit_target,201.0,990.0
2025-03-03,2025-03-05,call_credit,2025-04-04,32,9,0.87,2.0,0.435,0.859,46.78,48.9,0.22562499999999974,profit_target,466.54,1017.0
