date,equity,spot,realized_equity
2024-11-25,100000.0,54.02,100000.0
2024-11-26,100000.0,51.7,100000.0
2024-11-27,100000.0,55.03,100000.0
2024-11-29,100000.0,55.21,100000.0
2024-12-02,100000.0,54.48,100000.0
2024-12-03,100000.0,54.46,100000.0
2024-12-04,100000.0,56.42,100000.0
2024-12-05,100000.0,56.4,100000.0
2024-12-06,101024.375,57.8,100000.0
2024-12-09,100417.5,54.73,100083.4375
2024-12-10,100036.3375,54.9,99880.9375
2024-12-11,101405.725,57.72,100982.925
2024-12-12,101477.6875,56.92,100982.925
2024-12-13,102478.125,57.91,102368.4375
2024-12-16,103831.1875,60.22,102368.4375
2024-12-17,104046.2875,60.73,103697.225
2024-12-18,104278.1625,57.18,104367.225
2024-12-19,103462.475,54.72,103094.6625
2024-12-20,104002.40000000001,54.81,103646.46250000001
2024-12-23,102922.40000000001,52.87,103295.83750000001
2024-12-24,104316.46250000001,56.23,103923.65000000001
2024-12-26,104157.71250000001,54.3,103923.65000000001
2024-12-27,104273.65000000001,53.68,104273.65000000001
2024-12-30,104093.96250000001,53.55,104273.65000000001
2024-12-31,105540.10867136382,53.05,104248.33750000001
2025-01-02,106036.58750000001,55.37,106036.58750000001
2025-01-03,106036.58750000001,55.96,106036.58750000001
2025-01-06,106036.58750000001,58.17,106036.58750000001
2025-01-07,106036.58750000001,54.79,106036.58750000001
2025-01-08,106036.58750000001,53.34,106036.58750000001
2025-01-10,106036.58750000001,53.84,106036.58750000001
2025-01-13,106036.58750000001,53.22,106036.58750000001
2025-01-14,106807.52500000001,54.83,106406.58750000001
2025-01-15,106914.95085658558,56.64,106406.58750000001
2025-01-16,106774.50640317627,57.09,106406.58750000001
2025-01-17,107226.58750000001,59.62,107226.58750000001
2025-01-21,108034.31250000001,60.42,107569.93750000001
2025-01-22,107880.18750000001,59.38,107569.93750000001
2025-01-23,107861.60000000002,58.79,107587.12500000001
2025-01-24,108555.77500000001,59.7,108206.08750000001
2025-01-27,106355.68750000001,57.67,106355.68750000001
2025-01-28,107891.92748885466,57.58,107437.11498885466
2025-01-29,109279.12748885466,59.34,108969.72748885467
2025-01-30,110741.78998885467,59.72,110458.31498885466
2025-01-31,110662.31498885466,57.71,110458.31498885466
2025-02-03,110697.58998885466,57.58,110458.31498885466
2025-02-04,111065.31498885466,56.13,110458.31498885466
2025-02-05,111117.40248885466,55.33,110458.31498885466
2025-02-06,111551.55248885466,55.12,110458.31498885466
2025-02-07,112373.26498885466,54.47,111819.00248885466
2025-02-10,113739.66498885467,55.38,112364.00248885466
2025-02-11,112870.579774641,54.11,112364.00248885466
2025-02-12,113653.88998885466,55.16,112364.00248885466
2025-02-13,114051.72748885467,54.74,113083.00248885466
2025-02-14,114772.73988893742,55.33,113698.53988893742
2025-02-18,113922.51488893742,53.51,113698.53988893742
2025-02-19,115189.91488893742,54.65,113698.53988893742
2025-02-20,116121.07391267353,56.04,115078.11141267353
2025-02-21,115608.97391267354,53.92,115078.11141267353
2025-02-24,115969.31141267353,53.41,115423.11141267353
2025-02-25,114041.56141267355,50.03,114041.56141267355
2025-02-26,114041.56141267355,47.96,114041.56141267355
2025-02-27,114041.56141267355,47.35,114041.56141267355
2025-02-28,114041.56141267355,47.9,114041.56141267355
2025-03-03,114041.56141267355,48.9,114041.56141267355
2025-03-04,115383.06141267355,49.39,114586.56141267355
2025-03-05,116306.87391267355,51.44,115791.31141267355
2025-03-06,116941.77338244858,50.64,116126.31141267355
2025-03-07,118172.73454946875,49.43,117701.58454946875
2025-03-10,119854.38454946874,44.91,119854.38454946874
2025-03-11,119854.38454946874,47.24,119854.38454946874
2025-03-12,119854.38454946874,47.15,119854.38454946874
2025-03-13,119854.38454946874,45.52,119854.38454946874
2025-03-14,119854.38454946874,48.14,119854.38454946874
2025-03-17,119854.38454946874,48.06,119854.38454946874
2025-03-18,119854.38454946874,46.81,119854.38454946874
2025-03-19,119854.38454946874,48.61,119854.38454946874
2025-03-20,119854.38454946874,47.85,119854.38454946874
2025-03-21,119854.38454946874,47.7,119854.38454946874
2025-03-24,119854.38454946874,50.18,119854.38454946874
2025-03-25,119854.38454946874,50.14,119854.38454946874
2025-03-26,119854.38454946874,49.18,119854.38454946874
2025-03-27,119854.38454946874,49.44,119854.38454946874
2025-03-28,119854.38454946874,47.56,119854.38454946874
2025-03-31,119854.38454946874,46.81,119854.38454946874
2025-04-01,119854.38454946874,48.3,119854.38454946874
2025-04-02,119854.38454946874,49.41,119854.38454946874
2025-04-03,119854.38454946874,46.57,119854.38454946874
