entry,exit,structure,expiry,dte_at_entry,qty,credit,width,credit_ratio,pop,ev_per_ct,entry_spot,exit_debit,reason,pnl,risk
2024-12-05,2024-12-09,put_credit,2024-12-27,22,25,0.48,1.0,0.48,0.6963,13.51,56.4,0.404625,trail,83.44,1300.0
2024-12-05,2024-12-10,put_credit,2025-01-03,29,25,0.48,1.0,0.48,0.7297,16.85,56.4,0.5189999999999999,trail,-202.5,1300.0
2024-12-10,2024-12-11,put_credit,2025-01-03,24,25,0.46,1.0,0.46,0.7057,12.56,54.9,0.21112500000000012,profit_target,517.19,1350.0
2024-12-10,2024-12-11,put_credit,2025-01-03,24,16,0.8,2.0,0.4,0.6976,17.24,54.9,0.39249999999999996,profit_target,584.8,1920.0
2024-12-09,2024-12-13,put_credit,2025-01-10,32,16,0.75,2.0,0.375,0.6571,4.27,54.73,0.33287500000000003,profit_target,600.2,2000.0
2024-12-11,2024-12-13,put_credit,2025-01-03,23,25,0.24,1.0,0.24,0.8296,3.7,57.72,0.10000000000000003,profit_target,245.0,1900.0
2024-12-12,2024-12-13,put_credit,2025-01-03,22,25,0.5,1.0,0.5,0.7341,19.19,56.92,0.24187499999999995,profit_target,540.31,1250.0
2024-12-13,2024-12-17,put_credit,2025-01-10,28,25,0.49,1.0,0.49,0.705,15.34,57.91,0.21262499999999995,profit_target,588.44,1275.0
2024-12-13,2024-12-17,put_credit,2025-01-10,28,17,0.8,2.0,0.4,0.6964,16.82,57.91,0.3225,profit_target,740.35,2040.0
2024-12-17,2024-12-18,put_credit,2025-01-24,38,25,0.31,1.0,0.31,0.7798,5.41,60.73,0.0,profit_target,670.0,1725.0
2024-12-11,2024-12-19,put_credit,2025-01-17,37,25,0.4,1.0,0.4,0.6751,3.7,57.72,0.4059999999999997,trail,-120.0,1500.0
2024-12-17,2024-12-19,put_credit,2025-01-31,45,15,0.68,2.0,0.34,0.7007,6.15,60.73,1.4063749999999997,stop_loss,-1152.56,1980.0
2024-12-19,2024-12-20,put_credit,2025-01-03,15,16,0.76,2.0,0.38,0.7288,20.12,54.72,0.37312500000000015,profit_target,551.8,1984.0
2024-12-18,2024-12-23,put_credit,2025-01-03,16,25,0.49,1.0,0.49,0.727,17.54,57.18,0.5882500000000002,trail,-350.63,1275.0
2024-12-18,2024-12-24,put_credit,2025-01-24,37,25,0.38,1.0,0.38,0.7664,10.86,57.18,0.08687500000000004,profit_target,627.81,1550.0
2024-12-19,2024-12-27,put_credit,2025-01-31,43,25,0.36,1.0,0.36,0.7342,5.72,54.72,0.17800000000000016,profit_target,350.0,1600.0
2024-12-27,2024-12-31,put_credit,2025-01-31,35,25,0.31,1.0,0.31,0.7706,4.57,53.68,0.27812499999999996,trail,-25.31,1725.0
2024-12-27,2025-01-02,put_credit,2025-01-24,28,25,0.23,1.0,0.23,0.8361,3.35,53.68,0.10999999999999999,profit_target,195.0,1925.0
2024-12-30,2025-01-02,put_credit,2025-02-07,39,18,0.85,2.0,0.425,0.736,29.1,53.55,0.3477500000000001,profit_target,828.45,2070.0
2024-12-30,2025-01-02,put_credit,2025-01-24,25,16,0.74,2.0,0.37,0.7695,25.87,53.55,0.21999999999999997,profit_target,764.8,2016.0
2025-01-13,2025-01-14,put_credit,2025-02-07,25,25,0.3,1.0,0.3,0.8473,11.24,53.22,0.10999999999999999,profit_target,370.0,1750.0
2025-01-13,2025-01-17,put_credit,2025-02-14,32,25,0.46,1.0,0.46,0.6703,9.01,53.22,0.09000000000000008,profit_target,820.0,1350.0
2025-01-17,2025-01-21,put_credit,2025-02-14,28,14,0.56,2.0,0.28,0.7628,7.61,59.62,0.27275000000000005,profit_target,343.35,2016.0
2025-01-17,2025-01-23,put_credit,2025-02-14,28,25,0.48,1.0,0.48,0.6768,11.56,59.62,0.431125,trail,17.19,1300.0
2025-01-21,2025-01-24,put_credit,2025-02-14,24,13,0.88,2.5,0.352,0.7076,14.72,60.42,0.7618749999999999,trail,98.96,2106.0
2025-01-23,2025-01-24,put_credit,2025-02-07,15,25,0.41,1.0,0.41,0.7743,14.68,58.79,0.16000000000000003,profit_target,520.0,1475.0
2025-01-21,2025-01-27,put_credit,2025-02-28,38,25,0.41,1.0,0.41,0.677,4.84,60.42,0.9699999999999998,stop_loss,-1505.0,1475.0
2025-01-22,2025-01-27,put_credit,2025-02-28,37,16,0.73,2.0,0.365,0.6806,7.04,59.38,0.903875,trail,-345.4,2032.0
2025-01-27,2025-01-28,put_credit,2025-02-14,18,19,0.9,2.0,0.45,0.728,32.36,57.67,0.2888276374449238,profit_target,1081.43,2090.0
2025-01-27,2025-01-29,put_credit,2025-03-07,39,19,0.93,2.0,0.465,0.7076,30.83,57.67,0.46162499999999995,profit_target,810.11,2033.0
2025-01-28,2025-01-29,put_credit,2025-02-28,31,25,0.4,1.0,0.4,0.7159,7.83,57.58,0.06900000000000017,profit_target,722.5,1500.0
2025-01-29,2025-01-30,put_credit,2025-02-28,30,25,0.5,1.0,0.5,0.7282,18.6,59.34,0.2191249999999998,profit_target,597.19,1250.0
2025-01-29,2025-01-30,put_credit,2025-02-28,30,16,1.16,2.5,0.464,0.713,40.9,59.34,0.5608750000000001,profit_target,891.4,2144.0
2025-02-03,2025-02-07,put_credit,2025-03-14,39,15,1.08,2.5,0.432,0.7372,39.64,57.58,0.13087499999999985,profit_target,1360.69,2130.0
2025-02-07,2025-02-10,put_credit,2025-02-28,21,25,0.46,1.0,0.46,0.7686,18.86,54.47,0.19999999999999996,profit_target,545.0,1350.0
2025-02-04,2025-02-13,iron_condor,2025-02-28,24,16,1.0,2.0,0.5,0.5305,24.0,56.13,0.466625,profit_target,719.0,1600.0
2025-02-13,2025-02-14,call_credit,2025-03-14,29,25,0.29,1.0,0.29,0.7945,5.08,54.74,0.001785039966898161,profit_target,615.54,1775.0
2025-02-03,2025-02-20,put_credit,2025-03-07,32,16,1.2,2.5,0.48,0.7252,47.47,57.58,0.500375,profit_target,1052.2,2080.0
2025-02-11,2025-02-20,put_credit,2025-03-28,45,14,0.5,2.0,0.25,0.7834,6.33,54.11,0.22416319733134416,profit_target,327.37,2100.0
2025-02-21,2025-02-24,call_credit,2025-03-28,35,25,0.28,1.0,0.28,0.9046,14.7,53.92,0.10000000000000003,profit_target,345.0,1800.0
2025-01-28,2025-02-25,put_credit,2025-03-07,38,17,0.76,2.0,0.38,0.6641,6.66,57.58,1.6274999999999995,stop_loss,-1546.15,2108.0
2025-02-14,2025-02-25,iron_condor,2025-03-14,28,16,1.12,2.5,0.448,0.633,23.15,55.33,1.1956249999999997,trail,-255.4,2208.0
2025-02-21,2025-02-25,call_credit,2025-03-14,21,25,0.28,1.0,0.28,0.7967,4.49,53.92,0.07,profit_target,420.0,1800.0
2025-03-03,2025-03-04,call_credit,2025-03-28,25,25,0.34,1.0,0.34,0.9464,24.65,48.9,0.07999999999999996,profit_target,545.0,1650.0
2025-03-03,2025-03-05,call_credit,2025-04-04,32,20,0.87,2.0,0.435,0.859,55.18,48.9,0.22562499999999974,profit_target,1204.75,2260.0
2025-03-05,2025-03-06,call_credit,2025-04-04,30,25,0.24,1.0,0.24,0.832,3.77,51.44,0.06400000000000006,profit_target,335.0,1900.0
2025-03-04,2025-03-07,call_credit,2025-03-28,24,25,0.41,1.0,0.41,0.8262,19.74,49.39,0.0,profit_target,920.0,1475.0
2025-03-05,2025-03-07,call_credit,2025-04-04,30,25,0.26,1.0,0.26,0.8166,4.22,51.44,0.09139074528191915,profit_target,316.52,1850.0
2025-03-06,2025-03-07,call_credit,2025-04-04,29,25,0.34,1.0,0.34,0.8028,10.63,50.64,0.1625000000000001,profit_target,338.75,1650.0
2025-03-04,2025-03-10,call_credit,2025-04-11,38,18,0.75,2.0,0.375,0.8393,39.93,49.39,0.21000000000000002,profit_target,896.4,2250.0
2025-03-07,2025-03-10,call_credit,2025-04-04,28,25,0.32,1.0,0.32,0.8656,14.85,49.43,0.04999999999999999,profit_target,570.0,1700.0
2025-03-07,2025-03-10,call_credit,2025-03-28,21,13,0.7,2.5,0.28,0.8776,38.88,49.43,0.13000000000000003,profit_target,686.4,2340.0
2025-05-19,2025-05-20,put_credit,2025-06-13,25,25,0.38,1.0,0.38,0.696,4.1,59.99,0.07837499999999986,profit_target,649.06,1550.0
2025-05-21,2025-05-22,put_credit,2025-06-13,23,25,0.49,1.0,0.49,0.7655,21.38,61.79,0.23112500000000002,profit_target,542.19,1275.0
2025-05-19,2025-05-27,put_credit,2025-06-20,32,3,0.61,2.5,0.244,0.7606,4.19,59.99,0.27999999999999997,profit_target,86.4,567.0
2025-05-20,2025-05-27,put_credit,2025-06-27,38,25,0.35,1.0,0.35,0.7948,10.9,60.91,0.15000000000000002,profit_target,395.0,1625.0
2025-05-20,2025-05-30,put_credit,2025-06-27,38,1,1.29,5.0,0.258,0.7475,23.06,60.91,1.11125,trail,13.67,371.0
2025-05-27,2025-06-05,put_credit,2025-06-13,17,8,0.58,2.0,0.29,0.7211,3.49,62.5,1.2692499999999998,stop_loss,-585.0,1136.0
2025-05-30,2025-06-05,put_credit,2025-06-27,28,25,0.38,1.0,0.38,0.725,6.97,59.46,0.37149999999999994,trail,-83.75,1550.0
2025-06-05,2025-06-06,put_credit,2025-06-27,22,25,0.47,1.0,0.47,0.7703,19.98,57.87,0.14,profit_target,720.0,1325.0
2025-06-05,2025-06-06,put_credit,2025-06-27,22,8,0.66,2.5,0.264,0.75,8.17,57.87,0.31,profit_target,246.4,1472.0
2025-05-30,2025-06-09,put_credit,2025-07-11,42,19,0.78,2.0,0.39,0.7,15.88,59.46,0.3315,profit_target,772.35,2318.0
2025-05-22,2025-06-10,put_credit,2025-06-20,29,25,0.41,1.0,0.41,0.7235,9.62,63.23,0.16000000000000003,profit_target,520.0,1475.0
2025-06-10,2025-06-13,put_credit,2025-07-25,45,25,0.32,1.0,0.32,0.7563,4.21,62.29,0.42037499999999994,trail,-355.94,1700.0
2025-06-17,2025-06-24,put_credit,2025-07-25,38,25,0.31,1.0,0.31,0.8262,10.15,59.5,0.13,profit_target,345.0,1725.0
2025-06-17,2025-06-25,put_credit,2025-08-01,45,25,0.36,1.0,0.36,0.7635,8.74,59.5,0.17037499999999994,profit_target,369.06,1600.0
2025-06-12,2025-06-30,put_credit,2025-07-25,43,7,0.68,2.5,0.272,0.7401,5.33,60.7,0.3,profit_target,236.6,1274.0
2025-07-09,2025-07-10,put_credit,2025-08-08,30,25,0.45,1.0,0.45,0.7691,17.95,63.58,0.22199999999999998,profit_target,465.0,1375.0
2025-07-09,2025-07-10,put_credit,2025-08-01,23,25,0.4,1.0,0.4,0.7388,10.3,63.58,0.19100000000000006,profit_target,417.5,1500.0
2025-07-10,2025-07-14,put_credit,2025-08-22,43,25,0.38,1.0,0.38,0.6911,3.52,64.5,0.1748749999999999,profit_target,407.81,1550.0
2025-07-10,2025-07-14,put_credit,2025-08-22,43,10,0.71,2.5,0.284,0.7332,6.31,64.5,0.312125,profit_target,355.87,1790.0
2025-07-11,2025-07-22,put_credit,2025-08-01,21,13,0.61,2.0,0.305,0.713,4.06,67.21,0.27,profit_target,387.4,1807.0
2025-07-21,2025-07-22,put_credit,2025-08-08,18,25,0.28,1.0,0.28,0.8011,5.2,66.33,0.08999999999999997,profit_target,370.0,1800.0
2025-07-21,2025-07-24,put_credit,2025-08-22,32,6,0.59,2.5,0.236,0.773,5.71,66.33,0.538908818902662,trail,5.45,1146.0
2025-07-18,2025-07-30,put_credit,2025-08-22,35,25,0.39,1.0,0.39,0.6853,3.91,66.68,0.00550000000000006,profit_target,856.25,1525.0
2025-07-30,2025-07-31,put_credit,2025-08-22,23,25,0.38,1.0,0.38,0.7928,13.74,66.37,0.07999999999999996,profit_target,645.0,1550.0
2025-07-23,2025-08-01,put_credit,2025-08-08,16,25,0.33,1.0,0.33,0.7489,4.88,67.29,0.47025000000000006,time_exit,-455.63,1675.0
2025-07-23,2025-08-07,put_credit,2025-08-15,23,18,0.6,2.0,0.3,0.7256,5.73,67.29,0.22,profit_target,608.4,2520.0
2025-07-31,2025-08-07,put_credit,2025-08-22,22,25,0.36,1.0,0.36,0.7397,6.72,66.32,0.13000000000000006,profit_target,470.0,1600.0
2025-08-01,2025-08-07,put_credit,2025-09-12,42,18,0.65,2.0,0.325,0.7045,5.32,64.22,0.2516250000000001,profit_target,641.47,2430.0
