date,equity,spot,realized_equity
2024-11-25,100000.0,54.02,100000.0
2024-11-26,100000.0,51.7,100000.0
2024-11-27,100000.0,55.03,100000.0
2024-11-29,100000.0,55.21,100000.0
2024-12-02,100000.0,54.48,100000.0
2024-12-03,100000.0,54.46,100000.0
2024-12-04,100000.0,56.42,100000.0
2024-12-05,100000.0,56.4,100000.0
2024-12-06,100778.525,57.8,100000.0
2024-12-09,100317.3,54.73,100063.4125
2024-12-10,99987.21250000001,54.9,99909.51250000001
2024-12-11,100785.6875,57.72,100574.2875
2024-12-12,100814.8125,56.92,100574.2875
2024-12-13,101504.2375,57.91,101434.0375
2024-12-16,102350.07500000001,60.22,101434.0375
2024-12-17,102453.04999999999,60.73,102229.65
2024-12-18,102625.525,57.18,102604.84999999999
2024-12-19,102340.3375,54.72,102528.04999999999
2024-12-20,102417.17499999999,54.81,102803.94999999998
2024-12-23,101995.69999999998,52.87,102523.44999999998
2024-12-24,102734.76249999998,56.23,102925.24999999999
2024-12-26,102605.34999999999,54.3,102925.24999999999
2024-12-27,102686.19999999998,53.68,102925.24999999999
2024-12-30,102563.09999999999,53.55,102925.24999999999
2024-12-31,102949.67200910917,53.05,102911.07499999998
2025-01-02,103086.23749999997,55.37,103380.67499999997
2025-01-03,103206.98749999997,55.96,103380.67499999997
2025-01-06,103374.11249999997,58.17,103380.67499999997
2025-01-07,103088.68749999997,54.79,103380.67499999997
2025-01-08,103008.53749999998,53.34,103380.67499999997
2025-01-10,103073.11249999997,53.84,103380.67499999997
2025-01-13,103039.51249999997,53.22,103380.67499999997
2025-01-14,103729.83749999997,54.83,103587.87499999997
2025-01-15,103927.06865100501,56.64,103587.87499999997
2025-01-16,103899.86836641394,57.09,103587.87499999997
2025-01-17,104391.06249999997,59.62,104211.07499999997
2025-01-21,105046.84999999998,60.42,104675.34999999998
2025-01-22,104929.72499999998,59.38,104675.34999999998
2025-01-23,104788.51249999998,58.79,104689.09999999998
2025-01-24,105251.46249999998,59.7,105088.37499999999
2025-01-27,103892.275,57.67,103892.275
2025-01-28,104619.96762629956,57.58,104404.53012629956
2025-01-29,105425.16762629958,59.34,105279.56762629957
2025-01-30,106304.59262629956,59.72,106171.19262629957
2025-01-31,106267.19262629957,57.71,106171.19262629957
2025-02-03,106283.79262629958,57.58,106171.19262629957
2025-02-04,106469.40512629956,56.13,106171.19262629957
2025-02-05,106536.09262629956,55.33,106171.19262629957
2025-02-06,106774.50512629957,55.12,106171.19262629957
2025-02-07,107168.13012629957,54.47,106806.18012629957
2025-02-10,108001.10512629958,55.38,107220.38012629957
2025-02-11,107544.20030491603,54.11,107220.38012629957
2025-02-12,107953.94262629957,55.16,107220.38012629957
2025-02-13,108145.34262629956,54.74,107669.75512629957
2025-02-14,108570.82756634922,55.33,108039.07756634922
2025-02-18,108147.21506634922,53.51,108039.07756634922
2025-02-19,108759.89006634922,54.65,108039.07756634922
2025-02-20,109198.5258282173,56.04,108728.8633282173
2025-02-21,108959.57582821729,53.92,108728.8633282173
2025-02-24,109210.8508282173,53.41,108935.8633282173
2025-02-25,108348.52582821729,50.03,108348.52582821729
2025-02-26,108348.52582821729,47.96,108348.52582821729
2025-02-27,108348.52582821729,47.35,108348.52582821729
2025-02-28,108348.52582821729,47.9,108348.52582821729
2025-03-03,108348.52582821729,48.9,108348.52582821729
2025-03-04,109055.7508282173,49.39,108697.32582821729
2025-03-05,109536.88832821729,51.44,109239.46332821729
2025-03-06,109859.43403129131,50.64,109427.0633282173
2025-03-07,110692.9162848226,49.43,110483.5162848226
2025-03-10,111563.5162848226,44.91,111563.5162848226
2025-03-11,111563.5162848226,47.24,111563.5162848226
2025-03-12,111563.5162848226,47.15,111563.5162848226
2025-03-13,111563.5162848226,45.52,111563.5162848226
2025-03-14,111563.5162848226,48.14,111563.5162848226
2025-03-17,111563.5162848226,48.06,111563.5162848226
2025-03-18,111563.5162848226,46.81,111563.5162848226
2025-03-19,111563.5162848226,48.61,111563.5162848226
2025-03-20,111563.5162848226,47.85,111563.5162848226
2025-03-21,111563.5162848226,47.7,111563.5162848226
2025-03-24,111563.5162848226,50.18,111563.5162848226
2025-03-25,111563.5162848226,50.14,111563.5162848226
2025-03-26,111563.5162848226,49.18,111563.5162848226
2025-03-27,111563.5162848226,49.44,111563.5162848226
2025-03-28,111563.5162848226,47.56,111563.5162848226
2025-03-31,111563.5162848226,46.81,111563.5162848226
2025-04-01,111563.5162848226,48.3,111563.5162848226
2025-04-02,111563.5162848226,49.41,111563.5162848226
