entry,exit,structure,expiry,dte_at_entry,qty,credit,width,credit_ratio,pop,ev_per_ct,entry_spot,exit_debit,reason,pnl,risk
2024-12-05,2024-12-09,put_credit,2024-12-27,22,19,0.48,1.0,0.48,0.6963,13.51,56.4,0.404625,trail,63.41,988.0
2024-12-05,2024-12-10,put_credit,2025-01-03,29,19,0.48,1.0,0.48,0.7297,16.85,56.4,0.5189999999999999,trail,-153.9,988.0
2024-12-10,2024-12-11,put_credit,2025-01-03,24,18,0.46,1.0,0.46,0.7057,12.56,54.9,0.21112500000000012,profit_target,372.37,972.0
2024-12-10,2024-12-11,put_credit,2025-01-03,24,8,0.8,2.0,0.4,0.6976,17.24,54.9,0.39249999999999996,profit_target,292.4,960.0
2024-12-09,2024-12-13,put_credit,2025-01-10,32,8,0.75,2.0,0.375,0.6571,4.27,54.73,0.33287500000000003,profit_target,300.1,1000.0
2024-12-11,2024-12-13,put_credit,2025-01-03,23,13,0.24,1.0,0.24,0.8296,3.7,57.72,0.10000000000000003,profit_target,127.4,988.0
2024-12-12,2024-12-13,put_credit,2025-01-03,22,20,0.5,1.0,0.5,0.7341,19.19,56.92,0.24187499999999995,profit_target,432.25,1000.0
2024-12-13,2024-12-17,put_credit,2025-01-10,28,19,0.49,1.0,0.49,0.705,15.34,57.91,0.21262499999999995,profit_target,447.21,969.0
2024-12-13,2024-12-17,put_credit,2025-01-10,28,8,0.8,2.0,0.4,0.6964,16.82,57.91,0.3225,profit_target,348.4,960.0
2024-12-17,2024-12-18,put_credit,2025-01-24,38,14,0.31,1.0,0.31,0.7798,5.41,60.73,0.0,profit_target,375.2,966.0
2024-12-11,2024-12-19,put_credit,2025-01-17,37,16,0.4,1.0,0.4,0.6751,3.7,57.72,0.4059999999999997,trail,-76.8,960.0
2024-12-19,2024-12-20,put_credit,2025-01-03,15,8,0.76,2.0,0.38,0.7288,20.12,54.72,0.37312500000000015,profit_target,275.9,992.0
2024-12-18,2024-12-23,put_credit,2025-01-03,16,20,0.49,1.0,0.49,0.727,17.54,57.18,0.5882500000000002,trail,-280.5,1020.0
2024-12-18,2024-12-24,put_credit,2025-01-24,37,16,0.38,1.0,0.38,0.7664,10.86,57.18,0.08687500000000004,profit_target,401.8,992.0
2024-12-27,2024-12-31,put_credit,2025-01-31,35,14,0.31,1.0,0.31,0.7706,4.57,53.68,0.27812499999999996,trail,-14.17,966.0
2024-12-27,2025-01-02,put_credit,2025-01-24,28,13,0.23,1.0,0.23,0.8361,3.35,53.68,0.10999999999999999,profit_target,101.4,1001.0
2024-12-30,2025-01-02,put_credit,2025-02-07,39,8,0.85,2.0,0.425,0.736,29.1,53.55,0.3477500000000001,profit_target,368.2,920.0
2025-01-13,2025-01-14,put_credit,2025-02-07,25,14,0.3,1.0,0.3,0.8473,11.24,53.22,0.10999999999999999,profit_target,207.2,980.0
2025-01-13,2025-01-17,put_credit,2025-02-14,32,19,0.46,1.0,0.46,0.6703,9.01,53.22,0.09000000000000008,profit_target,623.2,1026.0
2024-12-17,2025-01-21,put_credit,2025-01-31,45,7,0.68,2.0,0.34,0.7007,6.15,60.73,0.21999999999999997,profit_target,292.6,924.0
2025-01-17,2025-01-21,put_credit,2025-02-14,28,7,0.56,2.0,0.28,0.7628,7.61,59.62,0.27275000000000005,profit_target,171.68,1008.0
2025-01-17,2025-01-23,put_credit,2025-02-14,28,20,0.48,1.0,0.48,0.6768,11.56,59.62,0.431125,trail,13.75,1040.0
2025-01-21,2025-01-24,put_credit,2025-02-14,24,6,0.88,2.5,0.352,0.7076,14.72,60.42,0.7618749999999999,trail,45.68,972.0
2025-01-23,2025-01-24,put_credit,2025-02-07,15,17,0.41,1.0,0.41,0.7743,14.68,58.79,0.16000000000000003,profit_target,353.6,1003.0
2025-01-21,2025-01-27,put_credit,2025-02-28,38,17,0.41,1.0,0.41,0.677,4.84,60.42,0.9699999999999998,stop_loss,-1023.4,1003.0
2025-01-22,2025-01-27,put_credit,2025-02-28,37,8,0.73,2.0,0.365,0.6806,7.04,59.38,0.903875,trail,-172.7,1016.0
2025-01-27,2025-01-28,put_credit,2025-02-14,18,9,0.9,2.0,0.45,0.728,32.36,57.67,0.2888276374449238,profit_target,512.26,990.0
2025-01-27,2025-01-29,put_credit,2025-03-07,39,9,0.93,2.0,0.465,0.7076,30.83,57.67,0.46162499999999995,profit_target,383.74,963.0
2025-01-28,2025-01-29,put_credit,2025-02-28,31,17,0.4,1.0,0.4,0.7159,7.83,57.58,0.06900000000000017,profit_target,491.3,1020.0
2025-01-29,2025-01-30,put_credit,2025-02-28,30,21,0.5,1.0,0.5,0.7282,18.6,59.34,0.2191249999999998,profit_target,501.64,1050.0
2025-01-29,2025-01-30,put_credit,2025-02-28,30,7,1.16,2.5,0.464,0.713,40.9,59.34,0.5608750000000001,profit_target,389.99,938.0
2025-02-03,2025-02-07,put_credit,2025-03-14,39,7,1.08,2.5,0.432,0.7372,39.64,57.58,0.13087499999999985,profit_target,634.99,994.0
2025-02-07,2025-02-10,put_credit,2025-02-28,21,19,0.46,1.0,0.46,0.7686,18.86,54.47,0.19999999999999996,profit_target,414.2,1026.0
2025-02-04,2025-02-13,iron_condor,2025-02-28,24,10,1.0,2.0,0.5,0.5305,24.0,56.13,0.466625,profit_target,449.37,1000.0
2025-02-13,2025-02-14,call_credit,2025-03-14,29,15,0.29,1.0,0.29,0.7945,5.08,54.74,0.001785039966898161,profit_target,369.32,1065.0
2025-02-03,2025-02-20,put_credit,2025-03-07,32,8,1.2,2.5,0.48,0.7252,47.47,57.58,0.500375,profit_target,526.1,1040.0
2025-02-11,2025-02-20,put_credit,2025-03-28,45,7,0.5,2.0,0.25,0.7834,6.33,54.11,0.22416319733134416,profit_target,163.69,1050.0
2025-02-21,2025-02-24,call_credit,2025-03-28,35,15,0.28,1.0,0.28,0.9046,14.7,53.92,0.10000000000000003,profit_target,207.0,1080.0
2025-01-28,2025-02-25,put_credit,2025-03-07,38,8,0.76,2.0,0.38,0.6641,6.66,57.58,1.6274999999999995,stop_loss,-727.6,992.0
2025-02-14,2025-02-25,iron_condor,2025-03-14,28,7,1.12,2.5,0.448,0.633,23.15,55.33,1.1956249999999997,trail,-111.74,966.0
2025-02-21,2025-02-25,call_credit,2025-03-14,21,15,0.28,1.0,0.28,0.7967,4.49,53.92,0.07,profit_target,252.0,1080.0
2025-03-03,2025-03-04,call_credit,2025-03-28,25,16,0.34,1.0,0.34,0.9464,24.65,48.9,0.07999999999999996,profit_target,348.8,1056.0
2025-03-03,2025-03-05,call_credit,2025-04-04,32,9,0.87,2.0,0.435,0.859,55.18,48.9,0.22562499999999974,profit_target,542.14,1017.0
2025-03-05,2025-03-06,call_credit,2025-04-04,30,14,0.24,1.0,0.24,0.832,3.77,51.44,0.06400000000000006,profit_target,187.6,1064.0
2025-03-04,2025-03-07,call_credit,2025-03-28,24,18,0.41,1.0,0.41,0.8262,19.74,49.39,0.0,profit_target,662.4,1062.0
2025-03-05,2025-03-07,call_credit,2025-04-04,30,14,0.26,1.0,0.26,0.8166,4.22,51.44,0.09139074528191915,profit_target,177.25,1036.0
2025-03-06,2025-03-07,call_credit,2025-04-04,29,16,0.34,1.0,0.34,0.8028,10.63,50.64,0.1625000000000001,profit_target,216.8,1056.0
2025-03-04,2025-03-10,call_credit,2025-04-11,38,8,0.75,2.0,0.375,0.8393,39.93,49.39,0.21000000000000002,profit_target,398.4,1000.0
2025-03-07,2025-03-10,call_credit,2025-04-04,28,16,0.32,1.0,0.32,0.8656,14.85,49.43,0.04999999999999999,profit_target,364.8,1088.0
2025-03-07,2025-03-10,call_credit,2025-03-28,21,6,0.7,2.5,0.28,0.8776,38.88,49.43,0.13000000000000003,profit_target,316.8,1080.0
2025-05-19,2025-05-20,put_credit,2025-06-13,25,17,0.38,1.0,0.38,0.696,4.1,59.99,0.07837499999999986,profit_target,441.36,1054.0
2025-05-21,2025-05-22,put_credit,2025-06-13,23,21,0.49,1.0,0.49,0.7655,21.38,61.79,0.23112500000000002,profit_target,455.44,1071.0
2025-05-19,2025-05-27,put_credit,2025-06-20,32,2,0.61,2.5,0.244,0.7606,4.19,59.99,0.27999999999999997,profit_target,57.6,378.0
2025-05-20,2025-05-27,put_credit,2025-06-27,38,17,0.35,1.0,0.35,0.7948,10.9,60.91,0.15000000000000002,profit_target,268.6,1105.0
2025-05-20,2025-05-30,put_credit,2025-06-27,38,1,1.29,5.0,0.258,0.7475,23.06,60.91,1.11125,trail,13.67,371.0
2025-05-30,2025-06-05,put_credit,2025-06-27,28,18,0.38,1.0,0.38,0.725,6.97,59.46,0.37149999999999994,trail,-60.3,1116.0
2025-05-27,2025-06-06,put_credit,2025-06-13,17,7,0.58,2.0,0.29,0.7211,3.49,62.5,0.95925,time_exit,-294.88,994.0
2025-06-05,2025-06-06,put_credit,2025-06-27,22,21,0.47,1.0,0.47,0.7703,19.98,57.87,0.14,profit_target,604.8,1113.0
2025-05-30,2025-06-09,put_credit,2025-07-11,42,9,0.78,2.0,0.39,0.7,15.88,59.46,0.3315,profit_target,365.85,1098.0
2025-05-22,2025-06-10,put_credit,2025-06-20,29,19,0.41,1.0,0.41,0.7235,9.62,63.23,0.16000000000000003,profit_target,395.2,1121.0
2025-06-10,2025-06-13,put_credit,2025-07-25,45,16,0.32,1.0,0.32,0.7563,4.21,62.29,0.42037499999999994,trail,-227.8,1088.0
2025-06-17,2025-06-24,put_credit,2025-07-25,38,16,0.31,1.0,0.31,0.8262,10.15,59.5,0.13,profit_target,220.8,1104.0
2025-06-17,2025-06-25,put_credit,2025-08-01,45,17,0.36,1.0,0.36,0.7635,8.74,59.5,0.17037499999999994,profit_target,250.96,1088.0
2025-06-12,2025-06-30,put_credit,2025-07-25,43,6,0.68,2.5,0.272,0.7401,5.33,60.7,0.3,profit_target,202.8,1092.0
2025-07-09,2025-07-10,put_credit,2025-08-08,30,20,0.45,1.0,0.45,0.7691,17.95,63.58,0.22199999999999998,profit_target,372.0,1100.0
2025-07-09,2025-07-10,put_credit,2025-08-01,23,19,0.4,1.0,0.4,0.7388,10.3,63.58,0.19100000000000006,profit_target,317.3,1140.0
2025-07-10,2025-07-14,put_credit,2025-08-22,43,18,0.38,1.0,0.38,0.6911,3.52,64.5,0.1748749999999999,profit_target,293.63,1116.0
2025-07-10,2025-07-14,put_credit,2025-08-22,43,6,0.71,2.5,0.284,0.7332,6.31,64.5,0.312125,profit_target,213.52,1074.0
2025-07-11,2025-07-22,put_credit,2025-08-01,21,8,0.61,2.0,0.305,0.713,4.06,67.21,0.27,profit_target,238.4,1112.0
2025-07-21,2025-07-22,put_credit,2025-08-08,18,16,0.28,1.0,0.28,0.8011,5.2,66.33,0.08999999999999997,profit_target,236.8,1152.0
2025-07-21,2025-07-24,put_credit,2025-08-22,32,5,0.59,2.5,0.236,0.773,5.71,66.33,0.538908818902662,trail,4.55,955.0
2025-07-18,2025-07-30,put_credit,2025-08-22,35,18,0.39,1.0,0.39,0.6853,3.91,66.68,0.00550000000000006,profit_target,616.5,1098.0
2025-07-30,2025-07-31,put_credit,2025-08-22,23,18,0.38,1.0,0.38,0.7928,13.74,66.37,0.07999999999999996,profit_target,464.4,1116.0
2025-07-23,2025-08-01,put_credit,2025-08-08,16,17,0.33,1.0,0.33,0.7489,4.88,67.29,0.47025000000000006,time_exit,-309.83,1139.0
2025-07-23,2025-08-07,put_credit,2025-08-15,23,8,0.6,2.0,0.3,0.7256,5.73,67.29,0.22,profit_target,270.4,1120.0
2025-07-31,2025-08-07,put_credit,2025-08-22,22,18,0.36,1.0,0.36,0.7397,6.72,66.32,0.13000000000000006,profit_target,338.4,1152.0
2025-08-01,2025-08-07,put_credit,2025-09-12,42,8,0.65,2.0,0.325,0.7045,5.32,64.22,0.2516250000000001,profit_target,285.1,1080.0
2025-07-24,2025-08-13,put_credit,2025-09-05,43,18,0.37,1.0,0.37,0.7209,5.51,67.66,0.17999999999999994,profit_target,266.4,1134.0
2025-08-07,2025-08-13,put_credit,2025-09-12,36,20,0.43,1.0,0.43,0.7147,10.65,66.83,0.12200000000000011,profit_target,532.0,1140.0
2025-08-07,2025-08-13,put_credit,2025-09-05,29,18,0.38,1.0,0.38,0.7052,5.07,66.83,0.15000000000000002,profit_target,338.4,1116.0
2025-08-14,2025-08-18,put_credit,2025-09-05,22,15,0.25,1.0,0.25,0.8232,4.4,67.03,0.20000000000000007,trail,12.0,1125.0
2025-08-19,2025-08-25,call_credit,2025-09-26,38,16,0.28,1.0,0.28,0.8137,5.99,64.19,0.050000000000000044,profit_target,300.8,1152.0
2025-08-13,2025-08-26,put_credit,2025-09-05,23,7,0.45,2.0,0.225,0.8071,8.08,69.84,1.87125,stop_loss,-1024.28,1085.0
2025-08-13,2025-08-29,put_credit,2025-09-12,30,6,0.61,2.5,0.244,0.7824,10.46,69.84,2.2233749999999994,stop_loss,-993.22,1134.0
2025-08-12,2025-09-12,put_credit,2025-09-26,45,6,0.55,2.5,0.22,0.7955,7.14,67.95,0.25,profit_target,154.8,1170.0
2025-09-17,2025-09-18,call_credit,2025-10-03,16,16,0.3,1.0,0.3,0.8281,9.64,65.67,0.14,profit_target,188.8,1120.0
2025-09-17,2025-09-24,iron_condor,2025-10-10,23,21,0.46,1.0,0.46,0.6566,3.57,65.67,0.21,profit_target,348.6,1134.0
2025-09-24,2025-09-26,call_credit,2025-10-24,30,15,0.26,1.0,0.26,0.8187,4.71,64.42,0.12000000000000005,profit_target,147.0,1110.0
2025-09-22,2025-09-29,call_credit,2025-10-24,32,16,0.29,1.0,0.29,0.808,6.45,63.65,0.23612500000000003,trail,19.0,1136.0
2025-09-23,2025-10-06,call_credit,2025-10-31,38,7,0.44,2.0,0.22,0.8052,5.24,63.41,1.3327500000000003,stop_loss,-654.33,1092.0
2025-09-26,2025-10-06,call_credit,2025-11-07,42,18,0.37,1.0,0.37,0.8249,15.74,61.94,0.8487500000000008,stop_loss,-937.35,1134.0
2025-09-25,2025-10-08,call_credit,2025-11-07,43,15,0.26,1.0,0.26,0.8736,9.79,62.1,0.7646249999999997,stop_loss,-819.94,1110.0
2025-10-02,2025-10-10,put_credit,2025-11-14,43,10,0.84,2.0,0.42,0.7082,22.84,68.77,0.9052500000000001,trail,-107.25,1160.0
2025-10-06,2025-10-10,put_credit,2025-11-07,32,15,0.26,1.0,0.26,0.8052,3.33,71.29,0.46374999999999966,trail,-368.62,1110.0
2025-10-14,2025-10-16,put_credit,2025-11-28,45,16,0.29,1.0,0.29,0.943,19.44,63.91,0.12012500000000004,profit_target,204.6,1136.0
2025-10-06,2025-10-17,put_credit,2025-11-14,39,6,0.63,2.5,0.252,0.7738,8.4,71.29,2.075875,stop_loss,-892.73,1122.0
2025-10-14,2025-10-27,put_credit,2025-11-07,24,17,0.34,1.0,0.34,0.7532,5.99,63.91,0.11000000000000004,profit_target,319.6,1122.0
2025-10-13,2025-10-28,put_credit,2025-11-07,25,17,0.34,1.0,0.34,0.7465,5.33,65.81,0.26049999999999995,trail,63.75,1122.0
2025-10-17,2025-10-30,call_credit,2025-11-14,28,15,0.25,1.0,0.25,0.8284,4.54,60.47,0.12000000000000005,profit_target,132.0,1125.0
2025-10-16,2025-10-31,call_credit,2025-11-28,43,16,0.28,1.0,0.28,0.8163,6.08,61.43,0.23612500000000003,trail,3.0,1152.0
2025-11-04,2025-11-13,call_credit,2025-12-12,38,15,0.24,1.0,0.24,0.8739,7.73,57.18,0.09000000000000002,profit_target,162.0,1140.0
2025-11-04,2025-11-14,call_credit,2025-12-12,38,5,0.58,2.5,0.232,0.8059,9.87,57.18,0.21000000000000002,profit_target,164.0,960.0
2025-11-14,2025-11-17,call_credit,2025-12-12,28,15,0.27,1.0,0.27,0.8238,5.92,53.475,0.08000000000000007,profit_target,222.0,1095.0
2025-11-14,2025-11-19,call_credit,2025-12-26,42,16,0.29,1.0,0.29,0.8141,6.77,53.475,0.13,profit_target,188.8,1136.0
2025-11-17,2025-11-20,call_credit,2025-12-12,25,5,0.55,2.5,0.22,0.7951,6.19,52.1,0.25,profit_target,129.0,975.0
2025-11-18,2025-11-20,call_credit,2025-12-26,38,16,0.31,1.0,0.31,0.7833,5.77,52.66,0.14,profit_target,204.8,1104.0
2025-11-17,2025-11-21,call_credit,2025-12-12,25,15,0.25,1.0,0.25,0.8231,4.01,52.1,0.09999999999999998,profit_target,162.0,1125.0
2025-11-19,2025-11-24,call_credit,2025-12-26,37,15,0.25,1.0,0.25,0.8364,5.16,50.73,0.18062500000000004,trail,41.06,1125.0
2025-11-20,2025-12-01,call_credit,2025-12-26,36,16,0.29,1.0,0.29,0.8061,6.12,48.96,0.14,profit_target,172.8,1136.0
2025-11-21,2025-12-01,call_credit,2026-01-02,42,17,0.32,1.0,0.32,0.8809,16.28,47.97,0.15000000000000002,profit_target,217.6,1156.0
2025-11-20,2025-12-12,call_credit,2025-12-19,29,14,0.22,1.0,0.22,0.8433,3.04,48.96,0.09999999999999999,profit_target,109.2,1092.0
2026-02-05,2026-02-12,call_credit,2026-03-13,36,18,0.38,1.0,0.38,0.8422,18.33,36.1,0.13,profit_target,374.4,1116.0
2026-02-05,2026-02-12,call_credit,2026-02-20,15,7,0.45,2.0,0.225,0.8679,18.15,36.1,0.12000000000000002,profit_target,201.6,1085.0
2026-03-30,2026-04-06,call_credit,2026-04-24,25,17,0.33,1.0,0.33,0.8045,10.05,37.68,0.29000000000000004,trail,-3.4,1139.0
2026-03-30,2026-04-06,call_credit,2026-05-08,39,17,0.32,1.0,0.32,0.8046,8.94,37.68,0.29237500000000005,trail,-24.44,1156.0
2026-05-13,2026-05-14,put_credit,2026-06-26,44,17,0.34,1.0,0.34,0.732,4.04,45.12,0.14225,profit_target,264.77,1122.0
2026-05-14,2026-05-15,put_credit,2026-06-26,43,15,0.26,1.0,0.26,0.8681,9.63,46.17,0.13,profit_target,132.0,1110.0
2026-05-29,2026-06-01,call_credit,2026-07-10,42,15,0.25,1.0,0.25,0.8599,7.88,41.63,0.11000000000000004,profit_target,147.0,1125.0
2026-06-02,2026-06-04,call_credit,2026-07-10,38,18,0.35,1.0,0.35,0.8149,13.07,38.05,0.07000000000000006,profit_target,428.4,1170.0
2026-06-02,2026-06-05,put_credit,2026-06-26,24,17,0.32,1.0,0.32,0.7481,4.29,38.05,0.8602500000000002,stop_loss,-989.83,1156.0
2026-06-03,2026-06-05,call_credit,2026-06-26,23,16,0.3,1.0,0.3,0.8098,8.21,37.0,0.07,profit_target,300.8,1120.0
2026-07-29,2026-08-04,call_credit,2026-09-04,37,15,0.25,1.0,0.25,0.8085,3.18,36.0,0.21000000000000008,trail,-3.0,1125.0
2026-07-29,2026-08-11,call_credit,2026-08-28,30,15,0.25,1.0,0.25,0.8309,5.44,36.0,0.09000000000000001,profit_target,177.0,1125.0
