date,equity,spot,realized_equity
2024-11-25,100000.0,54.02,100000.0
2024-11-26,100000.0,51.7,100000.0
2024-11-27,100000.0,55.03,100000.0
2024-11-29,100000.0,55.21,100000.0
2024-12-02,100000.0,54.48,100000.0
2024-12-03,100000.0,54.46,100000.0
2024-12-04,100000.0,56.42,100000.0
2024-12-05,100000.0,56.4,100000.0
2024-12-06,100521.4647072211,57.8,100312.0
2024-12-09,100242.4375,54.73,100242.4375
2024-12-10,100242.4375,54.9,100242.4375
2024-12-11,100242.4375,57.72,100242.4375
2024-12-12,100316.9625,56.92,100242.4375
2024-12-13,100729.4375,57.91,100369.8375
2024-12-16,100701.13749999998,60.22,100624.63749999998
2024-12-17,100736.76249999998,60.73,100736.76249999998
2024-12-18,100736.76249999998,57.18,100736.76249999998
2024-12-19,100736.76249999998,54.72,100736.76249999998
2024-12-20,100736.76249999998,54.81,100736.76249999998
2024-12-23,100736.76249999998,52.87,100736.76249999998
2024-12-24,100736.76249999998,56.23,100736.76249999998
2024-12-26,100736.76249999998,54.3,100736.76249999998
2024-12-27,100736.76249999998,53.68,100736.76249999998
2024-12-30,100498.86249999999,53.55,100736.76249999998
2024-12-31,100803.35950910917,53.05,100736.76249999998
2025-01-02,100838.16249999998,55.37,100838.16249999998
2025-01-03,100838.16249999998,55.96,100838.16249999998
2025-01-06,100838.16249999998,58.17,100838.16249999998
2025-01-07,100838.16249999998,54.79,100838.16249999998
2025-01-08,100838.16249999998,53.34,100838.16249999998
2025-01-10,100838.16249999998,53.84,100838.16249999998
2025-01-13,100838.16249999998,53.22,100838.16249999998
2025-01-14,101198.83749999998,54.83,101045.36249999997
2025-01-15,101210.56249999997,56.64,101210.56249999997
2025-01-16,101210.56249999997,57.09,101210.56249999997
2025-01-17,101210.56249999997,59.62,101210.56249999997
2025-01-21,101210.56249999997,60.42,101210.56249999997
2025-01-22,101210.56249999997,59.38,101210.56249999997
2025-01-23,101210.56249999997,58.79,101210.56249999997
2025-01-24,101584.16249999996,59.7,101584.16249999996
2025-01-27,101584.16249999996,57.67,101584.16249999996
2025-01-28,101780.16249999996,57.58,101584.16249999996
2025-01-29,101777.36249999996,59.34,101777.36249999996
2025-01-30,101945.36249999996,59.72,101777.36249999996
2025-01-31,101872.21249999997,57.71,101777.36249999996
2025-02-03,101955.33749999997,57.58,101777.36249999996
2025-02-04,101967.81249999996,56.13,101967.81249999996
2025-02-05,102147.21249999995,55.33,102147.21249999995
2025-02-06,102147.21249999995,55.12,102147.21249999995
2025-02-07,102147.21249999995,54.47,102147.21249999995
2025-02-10,102261.61249999994,55.38,102261.61249999994
2025-02-11,102261.61249999994,54.11,102261.61249999994
2025-02-12,102350.33749999995,55.16,102261.61249999994
2025-02-13,102385.27499999995,54.74,102385.27499999995
2025-02-14,102385.27499999995,55.33,102385.27499999995
2025-02-18,102385.27499999995,53.51,102385.27499999995
2025-02-19,102431.81830642483,54.65,102385.27499999995
2025-02-20,102508.69869111973,56.04,102385.27499999995
2025-02-21,102373.70608433131,53.92,102373.70608433131
2025-02-24,102566.9060843313,53.41,102566.9060843313
2025-02-25,102566.9060843313,50.03,102566.9060843313
2025-02-26,102566.9060843313,47.96,102566.9060843313
2025-02-27,102566.9060843313,47.35,102566.9060843313
2025-02-28,102566.9060843313,47.9,102566.9060843313
2025-03-03,102566.9060843313,48.9,102566.9060843313
2025-03-04,103151.3060843313,49.39,103151.3060843313
2025-03-05,103495.62746326702,51.44,103151.3060843313
2025-03-06,103719.7060843313,50.64,103719.7060843313
2025-03-07,103719.7060843313,49.43,103719.7060843313
2025-03-10,103719.7060843313,44.91,103719.7060843313
2025-03-11,103719.7060843313,47.24,103719.7060843313
2025-03-12,103719.7060843313,47.15,103719.7060843313
2025-03-13,103719.7060843313,45.52,103719.7060843313
2025-03-14,103719.7060843313,48.14,103719.7060843313
2025-03-17,103719.7060843313,48.06,103719.7060843313
2025-03-18,103719.7060843313,46.81,103719.7060843313
2025-03-19,103719.7060843313,48.61,103719.7060843313
2025-03-20,103719.7060843313,47.85,103719.7060843313
2025-03-21,103719.7060843313,47.7,103719.7060843313
2025-03-24,103719.7060843313,50.18,103719.7060843313
2025-03-25,103719.7060843313,50.14,103719.7060843313
2025-03-26,103719.7060843313,49.18,103719.7060843313
2025-03-27,103719.7060843313,49.44,103719.7060843313
2025-03-28,103719.7060843313,47.56,103719.7060843313
2025-03-31,103719.7060843313,46.81,103719.7060843313
2025-04-01,103719.7060843313,48.3,103719.7060843313
2025-04-02,103719.7060843313,49.41,103719.7060843313
