entry,exit,structure,expiry,dte_at_entry,qty,credit,width,credit_ratio,pop,ev_per_ct,entry_spot,exit_debit,reason,pnl,risk
2024-12-05,2024-12-06,put_credit,2024-12-27,22,15,0.36,1.0,0.36,0.8224,14.55,56.4,0.11000000000000004,profit_target,312.0,960.0
2024-12-05,2024-12-09,put_credit,2025-01-03,29,15,0.35,1.0,0.35,0.7837,9.72,56.4,0.354375,trail,-69.56,975.0
2024-12-11,2024-12-13,put_credit,2025-01-03,23,13,0.24,1.0,0.24,0.8296,3.7,57.72,0.10000000000000003,profit_target,127.4,988.0
2024-12-12,2024-12-16,put_credit,2025-01-10,29,13,0.28,1.0,0.28,0.7952,4.14,56.92,0.12,profit_target,153.4,936.0
2024-12-12,2024-12-16,put_credit,2025-01-10,29,13,0.23,1.0,0.23,0.8465,4.3,56.92,0.11000000000000004,profit_target,101.4,1001.0
2024-12-11,2024-12-17,put_credit,2025-01-24,44,6,0.45,2.0,0.225,0.7963,3.34,57.72,0.22112500000000013,profit_target,112.12,930.0
2024-12-27,2025-01-02,put_credit,2025-01-24,28,13,0.23,1.0,0.23,0.8361,3.35,53.68,0.10999999999999999,profit_target,101.4,1001.0
2025-01-13,2025-01-14,put_credit,2025-02-07,25,14,0.3,1.0,0.3,0.8473,11.24,53.22,0.10999999999999999,profit_target,207.2,980.0
2025-01-13,2025-01-15,put_credit,2025-02-21,39,14,0.28,1.0,0.28,0.7843,3.03,53.22,0.1200000000000001,profit_target,165.2,1008.0
2025-01-23,2025-01-24,put_credit,2025-02-07,15,14,0.3,1.0,0.3,0.8424,10.88,58.79,0.10999999999999999,profit_target,207.2,980.0
2025-01-23,2025-01-24,put_credit,2025-02-14,22,13,0.27,1.0,0.27,0.8309,6.75,58.79,0.09999999999999998,profit_target,166.4,949.0
2025-01-27,2025-01-29,put_credit,2025-02-14,18,14,0.32,1.0,0.32,0.8473,13.24,57.67,0.14,profit_target,193.2,952.0
2025-01-29,2025-02-04,put_credit,2025-02-28,30,14,0.28,1.0,0.28,0.8204,6.61,59.34,0.2672500000000001,trail,-40.95,1008.0
2025-02-03,2025-02-04,put_credit,2025-02-21,18,13,0.22,1.0,0.22,0.886,7.34,57.58,0.0,profit_target,231.4,1014.0
2025-02-04,2025-02-05,call_credit,2025-03-07,31,13,0.24,1.0,0.24,0.926,12.76,56.13,0.06000000000000005,profit_target,179.4,988.0
2025-02-07,2025-02-10,put_credit,2025-03-14,35,13,0.25,1.0,0.25,0.8486,6.53,54.47,0.12,profit_target,114.4,975.0
2025-02-11,2025-02-13,put_credit,2025-03-28,45,13,0.25,1.0,0.25,0.8129,3.01,54.11,0.11287499999999995,profit_target,123.66,975.0
2025-02-18,2025-02-21,put_credit,2025-03-14,24,13,0.24,1.0,0.24,0.8766,8.48,53.51,0.2068991658989583,trail,-11.57,988.0
2025-02-21,2025-02-24,call_credit,2025-03-28,35,14,0.28,1.0,0.28,0.9046,14.7,53.92,0.10000000000000003,profit_target,193.2,1008.0
2025-03-03,2025-03-04,call_credit,2025-03-28,25,15,0.34,1.0,0.34,0.9464,24.65,48.9,0.07999999999999996,profit_target,327.0,990.0
2025-03-03,2025-03-04,call_credit,2025-03-28,25,13,0.24,1.0,0.24,0.952,15.32,48.9,0.0,profit_target,257.4,988.0
2025-03-04,2025-03-06,call_credit,2025-03-28,24,14,0.3,1.0,0.3,0.9341,19.54,49.39,0.0,profit_target,361.2,980.0
2025-03-04,2025-03-06,call_credit,2025-03-21,17,14,0.27,1.0,0.27,0.9612,19.21,49.39,0.08000000000000002,profit_target,207.2,1022.0
2025-05-21,2025-05-22,put_credit,2025-06-27,37,13,0.23,1.0,0.23,0.8991,9.43,61.79,0.10000000000000009,profit_target,114.4,1001.0
2025-05-21,2025-05-23,put_credit,2025-06-27,37,16,0.37,1.0,0.37,0.8557,18.8,61.79,0.30262500000000014,trail,40.6,1008.0
2025-06-17,2025-06-24,put_credit,2025-07-25,38,15,0.31,1.0,0.31,0.8262,10.15,59.5,0.13,profit_target,207.0,1035.0
2025-07-09,2025-07-11,put_credit,2025-08-08,30,13,0.25,1.0,0.25,0.8344,5.32,63.58,0.08000000000000002,profit_target,166.4,975.0
2025-10-03,2025-10-08,put_credit,2025-11-14,42,13,0.25,1.0,0.25,0.8519,6.79,69.81,0.2047500000000001,trail,4.22,975.0
2025-10-03,2025-10-08,put_credit,2025-11-14,42,13,0.22,1.0,0.22,0.8671,5.36,69.81,0.5129490645488901,stop_loss,-435.43,1014.0
