date,equity,spot,realized_equity
2024-11-25,100000.0,54.02,100000.0
2024-11-26,100000.0,51.7,100000.0
2024-11-27,100000.0,55.03,100000.0
2024-11-29,100000.0,55.21,100000.0
2024-12-02,100000.0,54.48,100000.0
2024-12-03,100000.0,54.46,100000.0
2024-12-04,100000.0,56.42,100000.0
2024-12-05,100000.0,56.4,100000.0
2024-12-06,100703.875,57.8,100334.8
2024-12-09,100588.6875,54.73,100334.8
2024-12-10,100361.57500000001,54.9,100180.90000000001
2024-12-11,100794.06250000001,57.72,100180.90000000001
2024-12-12,101079.46250000001,56.92,100937.37500000001
2024-12-13,101670.83750000001,57.91,101369.62500000001
2024-12-16,101817.00000000001,60.22,101277.22500000002
2024-12-17,101852.77500000001,60.73,101724.43750000001
2024-12-18,102645.38750000001,57.18,102371.83750000001
2024-12-19,103662.48750000002,54.72,103235.73750000002
2024-12-20,104065.28750000002,54.81,103517.73750000002
2024-12-23,103719.45000000003,52.87,103862.03750000002
2024-12-24,104322.95000000003,56.23,104322.95000000003
2024-12-26,104322.95000000003,54.3,104322.95000000003
2024-12-27,104322.95000000003,53.68,104322.95000000003
2024-12-30,104477.91250000002,53.55,104322.95000000003
2024-12-31,105154.46118975,53.05,105045.78618975
2025-01-02,105211.51118975,55.37,105045.78618975
2025-01-03,105511.66118975,55.96,105045.78618975
2025-01-06,104770.73618975,58.17,104955.33618975
2025-01-07,105248.96118975,54.79,104955.33618975
2025-01-08,105368.81118975,53.34,105368.81118975
2025-01-10,105368.81118975,53.84,105368.81118975
2025-01-13,105368.81118975,53.22,105368.81118975
2025-01-14,105993.80750031576,54.83,105368.81118975
2025-01-15,106094.38618975,56.64,105787.68618975
2025-01-16,106081.78618975001,57.09,105787.68618975
2025-01-17,106058.08618975,59.62,105787.68618975
2025-01-21,106100.86118975001,60.42,105787.68618975
2025-01-22,106721.58618975,59.38,105999.37368975
2025-01-23,106696.12368975,58.79,106415.12368975
2025-01-24,107967.64868975,59.7,106981.32368975
2025-01-27,107897.82368975,57.67,107450.82368975
2025-01-28,108785.75381604958,57.58,108425.37881604958
2025-01-29,109129.87881604958,59.34,108425.37881604958
2025-01-30,109803.84131604957,59.72,108927.01631604957
2025-01-31,109709.64131604957,57.71,109453.64131604957
2025-02-03,109709.64131604957,57.58,109453.64131604957
2025-02-04,110119.15381604957,56.13,109786.44131604958
2025-02-05,110662.34131604957,55.33,109786.44131604958
2025-02-06,110606.45381604957,55.12,109786.44131604958
2025-02-07,110730.17881604958,54.47,110421.42881604958
2025-02-10,112161.25381604958,55.38,111369.82881604957
2025-02-11,111802.24899466604,54.11,111369.82881604957
2025-02-12,112128.49131604958,55.16,111369.82881604957
2025-02-13,112297.79131604957,54.74,111819.20381604957
2025-02-14,112433.47881604957,55.33,111819.20381604957
2025-02-18,112245.41631604957,53.51,111819.20381604957
2025-02-19,112815.89131604957,54.65,111819.20381604957
2025-02-20,113032.66457791765,56.04,112944.98957791764
2025-02-21,112998.18957791764,53.92,112944.98957791764
2025-02-24,113386.08957791765,53.41,113151.98957791764
2025-02-25,113078.71457791765,50.03,113068.41457791765
2025-02-26,112733.70453454797,47.96,113068.41457791765
2025-02-27,111958.91457791765,47.35,111958.91457791765
2025-02-28,111958.91457791765,47.9,111958.91457791765
2025-03-03,111958.91457791765,48.9,111958.91457791765
2025-03-04,112876.58957791765,49.39,112518.16457791765
2025-03-05,114015.40207791765,51.44,113689.10207791765
2025-03-06,114496.64925978266,50.64,113689.10207791765
2025-03-07,114446.14095999477,49.43,113879.01595999477
2025-03-10,113767.48786859866,44.91,113879.01595999477
2025-03-11,115066.0440388076,47.24,115006.6440388076
2025-03-12,115281.0315388076,47.15,115006.6440388076
2025-03-13,114632.5815388076,45.52,115006.6440388076
2025-03-14,115584.5190388076,48.14,115122.9315388076
2025-03-17,115649.7690388076,48.06,115122.9315388076
2025-03-18,115454.46903880761,46.81,115122.9315388076
2025-03-19,115676.8815388076,48.61,115676.8815388076
2025-03-20,115676.8815388076,47.85,115676.8815388076
2025-03-21,115676.8815388076,47.7,115676.8815388076
2025-03-24,115676.8815388076,50.18,115676.8815388076
2025-03-25,115676.8815388076,50.14,115676.8815388076
2025-03-26,115676.8815388076,49.18,115676.8815388076
2025-03-27,115676.8815388076,49.44,115676.8815388076
2025-03-28,115676.8815388076,47.56,115676.8815388076
2025-03-31,115676.8815388076,46.81,115676.8815388076
2025-04-01,115676.8815388076,48.3,115676.8815388076
2025-04-02,115676.8815388076,49.41,115676.8815388076
