entry,exit,structure,expiry,dte_at_entry,qty,credit,width,credit_ratio,pop,ev_per_ct,entry_spot,exit_debit,reason,pnl,risk
2024-12-05,2024-12-06,iron_condor,2024-12-20,15,18,0.47,1.0,0.47,0.822,20.91,56.4,0.2,profit_target,334.8,954.0
2024-12-05,2024-12-10,put_credit,2025-01-03,29,19,0.48,1.0,0.48,0.7297,16.85,56.4,0.5189999999999999,trail,-153.9,988.0
2024-12-09,2024-12-12,iron_condor,2025-01-10,32,9,0.98,2.0,0.49,0.5609,11.7,54.73,0.3928750000000001,profit_target,452.81,918.0
2024-12-10,2024-12-12,call_credit,2025-01-24,45,17,0.43,1.0,0.43,0.8499,23.91,54.9,0.20937500000000053,profit_target,303.66,969.0
2024-12-12,2024-12-13,put_credit,2025-01-03,22,20,0.5,1.0,0.5,0.7341,19.19,56.92,0.24187499999999995,profit_target,432.25,1000.0
2024-12-10,2024-12-16,call_credit,2025-01-03,24,16,0.38,1.0,0.38,0.8432,18.44,54.9,0.3957499999999996,trail,-92.4,992.0
2024-12-13,2024-12-17,put_credit,2025-01-10,28,19,0.49,1.0,0.49,0.705,15.34,57.91,0.21262499999999995,profit_target,447.21,969.0
2024-12-16,2024-12-18,call_credit,2025-01-24,39,16,0.38,1.0,0.38,0.8601,20.02,60.22,0.15912499999999974,profit_target,286.2,992.0
2024-12-17,2024-12-18,call_credit,2025-01-10,24,14,0.3,1.0,0.3,0.8006,6.47,60.73,0.0,profit_target,361.2,980.0
2024-12-09,2024-12-19,call_credit,2025-01-17,39,13,0.28,1.0,0.28,0.803,4.59,54.73,0.2570000000000001,trail,-24.7,936.0
2024-12-12,2024-12-19,call_credit,2025-01-10,29,16,0.38,1.0,0.38,0.8145,15.57,56.92,0.07062499999999994,profit_target,427.8,992.0
2024-12-18,2024-12-19,call_credit,2025-01-10,23,16,0.38,1.0,0.38,0.9149,25.47,57.18,0.04999999999999999,profit_target,460.8,992.0
2024-12-19,2024-12-20,call_credit,2025-01-03,15,15,0.33,1.0,0.33,0.8989,19.09,54.72,0.10000000000000003,profit_target,282.0,1005.0
2024-12-18,2024-12-23,put_credit,2025-01-03,16,20,0.49,1.0,0.49,0.727,17.54,57.18,0.5882500000000002,trail,-280.5,1020.0
2024-12-19,2024-12-23,call_credit,2025-01-31,43,8,0.79,2.0,0.395,0.8354,42.65,54.72,0.2084999999999999,profit_target,431.6,968.0
2024-12-20,2024-12-23,call_credit,2025-01-03,14,14,0.29,1.0,0.29,0.7847,4.2,54.81,0.11000000000000004,profit_target,193.2,994.0
2024-12-20,2024-12-24,put_credit,2025-01-24,35,17,0.4,1.0,0.4,0.6937,5.58,54.81,0.08687500000000004,profit_target,460.91,1020.0
2024-12-27,2024-12-31,put_credit,2025-01-31,35,15,0.31,1.0,0.31,0.7706,4.57,53.68,0.27812499999999996,trail,-15.19,1035.0
2024-12-30,2024-12-31,put_credit,2025-01-24,25,16,0.37,1.0,0.37,0.8553,18.76,53.55,0.16086019390626805,profit_target,267.42,1008.0
2024-12-30,2024-12-31,iron_condor,2025-01-24,25,8,1.2,2.5,0.48,0.6564,37.97,53.55,0.52775,profit_target,470.6,1040.0
2024-12-31,2025-01-06,call_credit,2025-02-07,38,18,0.44,1.0,0.44,0.8259,22.53,53.05,0.44825000000000026,trail,-90.45,1008.0
2024-12-27,2025-01-08,call_credit,2025-01-31,35,14,0.3,1.0,0.3,0.8078,7.09,53.68,0.12037500000000001,profit_target,192.67,980.0
2024-12-31,2025-01-08,call_credit,2025-01-24,24,16,0.35,1.0,0.35,0.8127,12.55,53.05,0.17000000000000004,profit_target,220.8,1040.0
2025-01-13,2025-01-15,iron_condor,2025-01-31,18,10,0.96,2.0,0.48,0.637,26.56,53.22,0.457125,profit_target,418.87,1040.0
2025-01-21,2025-01-22,call_credit,2025-02-28,38,15,0.31,1.0,0.31,0.836,10.79,60.42,0.12687500000000007,profit_target,211.69,1035.0
2025-01-17,2025-01-23,put_credit,2025-02-14,28,20,0.48,1.0,0.48,0.6768,11.56,59.62,0.431125,trail,13.75,1040.0
2025-01-17,2025-01-23,call_credit,2025-02-28,42,15,0.31,1.0,0.31,0.797,6.92,59.62,0.0,profit_target,402.0,1035.0
2025-01-23,2025-01-24,call_credit,2025-02-14,22,19,0.44,1.0,0.44,0.9178,31.67,58.79,0.09999999999999998,profit_target,566.2,1064.0
2025-01-22,2025-01-27,put_credit,2025-02-28,37,8,0.73,2.0,0.365,0.6806,7.04,59.38,0.903875,trail,-172.7,1016.0
2025-01-23,2025-01-27,call_credit,2025-02-07,15,19,0.46,1.0,0.46,0.8776,29.66,58.79,0.07999999999999999,profit_target,642.2,1026.0
2025-01-13,2025-01-28,iron_condor,2025-02-14,32,8,1.24,2.5,0.496,0.6498,33.79,53.22,0.5781250000000001,profit_target,462.3,1008.0
2025-01-27,2025-01-28,put_credit,2025-02-14,18,9,0.9,2.0,0.45,0.728,32.36,57.67,0.2888276374449238,profit_target,512.26,990.0
2025-01-29,2025-01-30,put_credit,2025-02-28,30,21,0.5,1.0,0.5,0.7282,18.6,59.34,0.2191249999999998,profit_target,501.64,1050.0
2025-01-27,2025-01-31,iron_condor,2025-02-28,32,10,0.98,2.0,0.49,0.6334,31.23,57.67,0.45525000000000004,profit_target,440.75,1020.0
2025-01-28,2025-01-31,iron_condor,2025-03-07,38,10,0.92,2.0,0.46,0.6043,31.5,57.58,0.7501250000000002,trail,85.87,1080.0
2025-01-28,2025-02-04,call_credit,2025-02-14,17,16,0.33,1.0,0.33,0.8126,10.72,57.58,0.08000000000000002,profit_target,332.8,1072.0
2025-02-03,2025-02-07,put_credit,2025-03-14,39,7,1.08,2.5,0.432,0.7372,39.64,57.58,0.13087499999999985,profit_target,634.99,994.0
2025-02-04,2025-02-10,iron_condor,2025-03-07,31,8,1.25,2.5,0.5,0.5488,42.68,56.13,0.5255000000000001,profit_target,512.4,1000.0
2025-02-07,2025-02-10,put_credit,2025-02-28,21,20,0.46,1.0,0.46,0.7686,18.86,54.47,0.19999999999999996,profit_target,436.0,1080.0
2025-02-04,2025-02-13,iron_condor,2025-02-28,24,10,1.0,2.0,0.5,0.5305,24.0,56.13,0.466625,profit_target,449.37,1000.0
2025-02-03,2025-02-20,put_credit,2025-03-07,32,8,1.2,2.5,0.48,0.7252,47.47,57.58,0.500375,profit_target,526.1,1040.0
2025-02-11,2025-02-20,put_credit,2025-03-28,45,7,0.5,2.0,0.25,0.7834,6.33,54.11,0.22416319733134416,profit_target,163.69,1050.0
2025-02-12,2025-02-20,iron_condor,2025-03-14,30,8,1.17,2.5,0.468,0.6393,25.91,55.16,0.5410000000000001,profit_target,436.0,1064.0
2025-02-21,2025-02-24,call_credit,2025-03-28,35,15,0.28,1.0,0.28,0.9046,14.7,53.92,0.10000000000000003,profit_target,207.0,1080.0
2025-02-13,2025-02-25,iron_condor,2025-03-07,22,2,0.92,2.0,0.46,0.545,10.69,54.74,1.2538749999999999,trail,-83.57,216.0
2025-02-21,2025-02-27,iron_condor,2025-03-14,21,8,0.93,2.0,0.465,0.5504,10.73,53.92,2.2328750000000004,stop_loss,-1109.5,856.0
2025-03-03,2025-03-04,iron_condor,2025-03-28,25,10,0.98,2.0,0.49,0.7429,41.5,48.9,0.3367500000000001,profit_target,559.25,1020.0
2025-03-03,2025-03-05,call_credit,2025-04-04,32,9,0.87,2.0,0.435,0.859,55.18,48.9,0.22562499999999974,profit_target,542.14,1017.0
2025-03-04,2025-03-05,iron_condor,2025-03-21,17,8,1.19,2.5,0.476,0.9022,89.28,49.39,0.32,profit_target,628.8,1048.0
2025-03-05,2025-03-07,call_credit,2025-04-04,30,15,0.26,1.0,0.26,0.8166,4.22,51.44,0.09139074528191915,profit_target,189.91,1110.0
2025-03-04,2025-03-11,iron_condor,2025-04-11,38,8,1.21,2.5,0.484,0.7495,61.26,49.39,0.3453750000000001,profit_target,624.5,1032.0
2025-03-05,2025-03-11,iron_condor,2025-04-04,30,11,0.99,2.0,0.495,0.6453,32.75,51.44,0.4486108374428741,profit_target,503.13,1111.0
2025-03-06,2025-03-14,iron_condor,2025-03-21,15,21,0.48,1.0,0.48,0.6884,8.55,50.64,0.3406249999999999,time_exit,116.29,1092.0
2025-03-07,2025-03-19,iron_condor,2025-03-28,21,9,1.25,2.5,0.5,0.6223,32.04,49.43,0.5505,profit_target,553.95,1125.0
2025-05-19,2025-05-20,put_credit,2025-06-13,25,18,0.38,1.0,0.38,0.696,4.1,59.99,0.07837499999999986,profit_target,467.33,1116.0
2025-05-21,2025-05-27,iron_condor,2025-06-20,30,23,0.5,1.0,0.5,0.8104,22.6,61.79,0.25,profit_target,381.8,1150.0
2025-05-20,2025-05-28,call_credit,2025-06-27,38,9,0.71,2.0,0.355,0.8224,32.94,60.91,0.3077500000000001,profit_target,324.22,1161.0
2025-05-20,2025-05-28,call_credit,2025-06-13,24,17,0.32,1.0,0.32,0.8218,10.67,60.91,0.14,profit_target,234.6,1156.0
2025-05-19,2025-06-05,call_credit,2025-06-27,39,7,0.45,2.0,0.225,0.8059,5.31,59.99,0.14,profit_target,187.6,1085.0
2025-05-27,2025-06-05,put_credit,2025-06-13,17,7,0.58,2.0,0.29,0.7211,3.49,62.5,1.2692499999999998,stop_loss,-511.87,994.0
2025-06-05,2025-06-06,put_credit,2025-06-27,22,22,0.47,1.0,0.47,0.7703,19.98,57.87,0.14,profit_target,633.6,1166.0
2025-06-05,2025-06-06,put_credit,2025-06-27,22,6,0.66,2.5,0.264,0.75,8.17,57.87,0.31,profit_target,184.8,1104.0
2025-05-30,2025-06-09,put_credit,2025-07-11,42,9,0.78,2.0,0.39,0.7,15.88,59.46,0.3315,profit_target,365.85,1098.0
2025-06-10,2025-06-13,call_credit,2025-07-11,31,17,0.34,1.0,0.34,0.8283,13.17,62.29,0.13999999999999996,profit_target,268.6,1122.0
2025-06-10,2025-06-13,iron_condor,2025-07-25,45,11,0.99,2.0,0.495,0.6258,15.65,62.29,0.978375,trail,-79.61,1111.0
2025-05-30,2025-06-16,iron_condor,2025-07-11,42,10,0.93,2.0,0.465,0.5973,19.1,59.46,0.40549999999999997,profit_target,440.5,1070.0
2025-06-12,2025-06-17,call_credit,2025-07-18,36,15,0.25,1.0,0.25,0.8707,8.54,60.7,0.1200000000000001,profit_target,132.0,1125.0
2025-06-16,2025-06-17,call_credit,2025-07-25,39,16,0.3,1.0,0.3,0.784,4.92,61.8,0.07487500000000014,profit_target,293.0,1120.0
2025-06-17,2025-06-24,put_credit,2025-07-25,38,17,0.31,1.0,0.31,0.8262,10.15,59.5,0.13,profit_target,234.6,1173.0
2025-06-17,2025-06-25,put_credit,2025-08-01,45,18,0.36,1.0,0.36,0.7635,8.74,59.5,0.17037499999999994,profit_target,265.73,1152.0
2025-06-23,2025-07-01,call_credit,2025-08-01,39,17,0.31,1.0,0.31,0.8504,12.38,58.67,0.27175000000000005,trail,-6.38,1173.0
