date,equity,spot,realized_equity
2025-10-16,100000.0,61.43,100000.0
2025-10-17,100000.0,60.47,100000.0
2025-10-20,100096.2,62.93,100096.2
2025-10-21,100096.2,63.49,100096.2
2025-10-22,100171.8,61.21,100171.8
2025-10-23,100171.8,62.56,100171.8
2025-10-24,100171.8,62.83,100171.8
2025-10-27,100171.8,65.28,100171.8
2025-10-28,100171.8,64.49,100171.8
2025-10-29,100171.8,62.75,100171.8
2025-10-30,100171.8,60.4,100171.8
2025-10-31,100171.8,62.3,100171.8
2025-11-03,100171.8,60.53,100171.8
2025-11-04,100171.8,57.18,100171.8
2025-11-05,100171.8,58.92,100171.8
2025-11-06,100171.8,57.26,100171.8
2025-11-07,100171.8,58.88,100171.8
2025-11-10,100171.8,60.19,100171.8
2025-11-11,100171.8,58.35,100171.8
2025-11-12,100171.8,57.59,100171.8
2025-11-13,100171.8,55.59,100171.8
2025-11-14,100171.8,53.475,100171.8
2025-11-17,100171.8,52.1,100171.8
2025-11-18,100171.8,52.66,100171.8
2025-11-19,100311.8,50.73,100171.8
2025-11-20,100293.8,48.96,100293.8
2025-11-21,100366.9875,47.97,100293.8
2025-11-24,100371.2625,50.57,100293.8
2025-11-25,99739.26050493245,49.56,99584.97300493244
2025-11-26,99456.99800493244,51.03,99584.97300493244
2025-11-28,99568.62300493244,51.55,99584.97300493244
2025-12-01,99916.37300493244,48.5,99584.97300493244
2025-12-02,99329.87300493244,51.67,99371.47300493244
2025-12-03,99298.87300493244,52.74,99371.47300493244
2025-12-04,99163.47300493244,52.51,99371.47300493244
2025-12-05,99386.67300493244,50.69,99371.47300493244
2025-12-08,99334.07300493245,51.52,99371.47300493244
2025-12-09,99155.27300493245,52.85,99371.47300493244
2025-12-10,99407.07300493245,52.49,99371.47300493244
2025-12-11,99528.87300493244,52.1,99371.47300493244
2025-12-12,99416.07300493245,51.2,99371.47300493244
2025-12-15,99601.87300493244,48.66,99601.87300493244
2025-12-16,99601.87300493244,49.71,99601.87300493244
2025-12-17,99601.87300493244,48.71,99601.87300493244
2025-12-18,99601.87300493244,47.96,99601.87300493244
2025-12-19,99601.87300493244,49.91,99601.87300493244
2025-12-22,99601.87300493244,50.09,99601.87300493244
2025-12-23,99601.87300493244,49.65,99601.87300493244
2025-12-24,99601.87300493244,49.46,99601.87300493244
2025-12-26,99601.87300493244,49.61,99601.87300493244
2025-12-29,99601.87300493244,49.38,99601.87300493244
2025-12-30,99601.87300493244,49.83,99601.87300493244
2025-12-31,99601.87300493244,49.65,99601.87300493244
2026-01-02,99601.87300493244,50.94,99601.87300493244
2026-01-05,99601.87300493244,53.46,99601.87300493244
2026-01-06,99601.87300493244,52.45,99601.87300493244
2026-01-07,99601.87300493244,51.54,99601.87300493244
2026-01-08,99601.87300493244,51.52,99601.87300493244
2026-01-09,99601.87300493244,51.16,99601.87300493244
2026-01-12,99601.87300493244,51.87,99601.87300493244
2026-01-13,99601.87300493244,53.57,99601.87300493244
2026-01-14,99601.87300493244,55.44,99601.87300493244
2026-01-15,99601.87300493244,54.0,99601.87300493244
2026-01-16,99601.87300493244,54.24,99601.87300493244
2026-01-20,99601.87300493244,50.76,99601.87300493244
2026-01-21,99601.87300493244,51.11,99601.87300493244
2026-01-22,99601.87300493244,50.67,99601.87300493244
2026-01-23,99601.87300493244,50.7,99601.87300493244
2026-01-26,99601.87300493244,49.65,99601.87300493244
2026-01-27,99601.87300493244,50.63,99601.87300493244
2026-01-28,99601.87300493244,50.51,99601.87300493244
2026-01-29,99601.87300493244,47.6,99601.87300493244
2026-01-30,99601.87300493244,47.49,99601.87300493244
2026-02-02,99601.87300493244,44.22,99601.87300493244
2026-02-03,99601.87300493244,43.3,99601.87300493244
2026-02-04,99601.87300493244,41.57,99601.87300493244
2026-02-05,99601.87300493244,36.1,99601.87300493244
2026-02-06,99490.59800493244,39.68,99601.87300493244
2026-02-09,99496.24800493244,40.11,99601.87300493244
2026-02-10,99832.67300493244,38.97,99601.87300493244
2026-02-11,99965.87300493244,38.29,99601.87300493244
2026-02-12,99922.67300493243,37.05,99922.67300493243
2026-02-13,99922.67300493243,38.97,99922.67300493243
2026-02-17,99922.67300493243,38.39,99922.67300493243
2026-02-18,99922.67300493243,37.54,99922.67300493243
2026-02-19,99922.67300493243,38.07,99922.67300493243
2026-02-20,99922.67300493243,38.42,99922.67300493243
2026-02-23,99922.67300493243,36.55,99922.67300493243
2026-02-24,99922.67300493243,36.53,99922.67300493243
2026-02-25,99922.67300493243,39.23,99922.67300493243
2026-02-26,99922.67300493243,38.26,99922.67300493243
2026-02-27,99922.67300493243,37.19,99922.67300493243
2026-03-02,99922.67300493243,39.195,99922.67300493243
2026-03-03,99922.67300493243,38.7,99922.67300493243
2026-03-04,99922.67300493243,41.44,99922.67300493243
2026-03-05,99922.67300493243,40.39,99922.67300493243
2026-03-06,99922.67300493243,38.6,99922.67300493243
2026-03-09,99922.67300493243,39.13,99922.67300493243
2026-03-10,99922.67300493243,39.71,99922.67300493243
2026-03-11,99922.67300493243,40.07,99922.67300493243
2026-03-12,99922.67300493243,39.95,99922.67300493243
2026-03-13,99922.67300493243,40.37,99922.67300493243
2026-03-16,99922.67300493243,41.94,99922.67300493243
2026-03-17,99922.67300493243,42.27,99922.67300493243
2026-03-18,99922.67300493243,40.26,99922.67300493243
2026-03-19,99922.67300493243,39.82,99922.67300493243
2026-03-20,99922.67300493243,39.77,99922.67300493243
2026-03-23,99922.67300493243,40.05,99922.67300493243
2026-03-24,99922.67300493243,39.28,99922.67300493243
2026-03-25,99922.67300493243,40.17,99922.67300493243
2026-03-26,99922.67300493243,38.82,99922.67300493243
2026-03-27,99922.67300493243,37.4,99922.67300493243
2026-03-30,99922.67300493243,37.68,99922.67300493243
2026-03-31,99922.67300493243,38.42,99922.67300493243
2026-04-01,99922.67300493243,38.64,99922.67300493243
2026-04-02,99922.67300493243,37.97,99922.67300493243
2026-04-06,99922.67300493243,39.52,99922.67300493243
2026-04-07,99922.67300493243,39.1,99922.67300493243
2026-04-08,99922.67300493243,40.42,99922.67300493243
2026-04-09,99922.67300493243,40.91,99922.67300493243
2026-04-10,99922.67300493243,41.56,99922.67300493243
2026-04-13,99922.67300493243,41.59,99922.67300493243
