entry,exit,structure,expiry,dte_at_entry,qty,credit,width,credit_ratio,pop,ev_per_ct,entry_spot,exit_debit,reason,pnl,risk
2025-10-17,2025-10-20,put_credit,2025-11-07,21,13,0.26,1.0,0.26,0.9342,7.42,60.47,0.06,profit_target,96.2,962.0
2025-10-21,2025-10-22,call_credit,2025-11-14,24,14,0.3,1.0,0.3,0.9327,11.0,63.49,0.12,profit_target,75.6,980.0
2025-11-18,2025-11-20,call_credit,2025-12-12,24,5,0.59,2.5,0.236,0.821,7.45,52.66,0.22000000000000003,profit_target,122.0,955.0
2025-11-21,2025-11-25,call_credit,2026-01-02,42,14,0.32,1.0,0.32,0.8809,7.88,47.97,0.7003049964768328,stop_loss,-708.83,952.0
2025-11-20,2025-12-02,call_credit,2025-12-26,36,5,0.59,2.5,0.236,0.8165,5.6,48.96,0.8909999999999999,trail,-213.5,955.0
2025-11-21,2025-12-15,call_credit,2025-12-26,35,16,0.38,1.0,0.38,0.7975,5.58,47.97,0.11000000000000001,profit_target,230.4,992.0
2026-02-05,2026-02-12,call_credit,2026-03-13,36,16,0.38,1.0,0.38,0.8422,9.93,36.1,0.13,profit_target,198.4,992.0
2026-02-05,2026-02-12,call_credit,2026-02-20,15,6,0.45,2.0,0.225,0.8679,9.75,36.1,0.12000000000000002,profit_target,122.4,930.0
2026-06-02,2026-06-04,call_credit,2026-07-10,38,15,0.35,1.0,0.35,0.8149,4.67,38.05,0.07000000000000006,profit_target,231.0,975.0
2026-06-03,2026-06-05,call_credit,2026-06-26,23,6,0.46,2.0,0.23,0.822,4.54,37.0,0.09999999999999999,profit_target,140.4,924.0
