date,equity,spot,realized_equity
2025-10-16,100000.0,61.43,100000.0
2025-10-17,100220.9375,60.47,100000.0
2025-10-20,99838.125,62.93,100395.0
2025-10-21,99997.5,63.49,100395.0
2025-10-22,100959.0625,61.21,100706.25
2025-10-23,100116.9375,62.56,100706.25
2025-10-24,100597.4375,62.83,100706.25
2025-10-27,99184.1875,65.28,100706.25
2025-10-28,99573.5625,64.49,100706.25
2025-10-29,101201.25,62.75,100706.25
2025-10-30,101930.8125,60.4,101609.25
2025-10-31,101613.9375,62.3,101613.9375
2025-11-03,101613.9375,60.53,101613.9375
2025-11-04,101613.9375,57.18,101613.9375
2025-11-05,101396.40395980337,58.92,101613.9375
2025-11-06,101402.6875,57.26,101613.9375
2025-11-07,101426.6875,58.88,101613.9375
2025-11-10,101641.4375,60.19,101613.9375
2025-11-11,101415.67311066412,58.35,101613.9375
2025-11-12,101343.5,57.59,101613.9375
2025-11-13,102133.9375,55.59,101883.9375
2025-11-14,102211.9375,53.475,102211.9375
2025-11-17,102853.8125,52.1,102581.9375
2025-11-18,102469.85,52.66,102581.9375
2025-11-19,103436.375,50.73,102876.9375
2025-11-20,104029.1375,48.96,103429.1375
2025-11-21,104234.7625,47.97,103699.1375
2025-11-24,104018.2,50.57,103767.575
2025-11-25,102943.68750880791,49.56,102711.81250880791
2025-11-26,102661.50000880791,51.03,102711.81250880791
2025-11-28,102727.12500880791,51.55,102711.81250880791
2025-12-01,103106.81250880791,48.5,102981.81250880791
2025-12-02,102976.18750880791,51.67,102981.81250880791
2025-12-03,102719.31250880791,52.74,102981.81250880791
2025-12-04,102750.25000880791,52.51,102981.81250880791
2025-12-05,103106.81250880791,50.69,102981.81250880791
2025-12-08,103031.81250880791,51.52,102981.81250880791
2025-12-09,102831.81250880791,52.85,102981.81250880791
2025-12-10,102956.81250880791,52.49,102981.81250880791
2025-12-11,102981.81250880791,52.1,102981.81250880791
2025-12-12,103176.81250880791,51.2,103176.81250880791
2025-12-15,103176.81250880791,48.66,103176.81250880791
2025-12-16,103176.81250880791,49.71,103176.81250880791
