entry,exit,structure,expiry,dte_at_entry,qty,credit,width,credit_ratio,pop,ev_per_ct,entry_spot,exit_debit,reason,pnl,risk
2025-10-17,2025-10-20,put_credit,2025-11-07,21,25,0.26,1.0,0.26,0.9342,15.82,60.47,0.06,profit_target,395.0,1850.0
2025-10-20,2025-10-22,call_credit,2025-11-14,25,25,0.33,1.0,0.33,0.7856,8.05,62.93,0.1635000000000001,profit_target,311.25,1675.0
2025-10-16,2025-10-30,call_credit,2025-11-07,22,25,0.27,1.0,0.27,0.8121,5.0,61.43,0.09000000000000002,profit_target,345.0,1825.0
2025-10-17,2025-10-30,call_credit,2025-11-14,28,25,0.25,1.0,0.25,0.8284,4.54,60.47,0.12000000000000005,profit_target,220.0,1875.0
2025-10-22,2025-10-30,call_credit,2025-11-07,16,10,0.56,2.5,0.224,0.8048,10.59,61.21,0.18000000000000002,profit_target,338.0,1940.0
2025-10-16,2025-10-31,call_credit,2025-11-28,43,25,0.28,1.0,0.28,0.8163,6.08,61.43,0.23612500000000003,trail,4.69,1800.0
2025-11-04,2025-11-13,call_credit,2025-12-12,38,25,0.24,1.0,0.24,0.8739,7.73,57.18,0.09000000000000002,profit_target,270.0,1900.0
2025-11-04,2025-11-14,call_credit,2025-12-12,38,10,0.58,2.5,0.232,0.8059,9.87,57.18,0.21000000000000002,profit_target,328.0,1920.0
2025-11-14,2025-11-17,call_credit,2025-12-12,28,25,0.27,1.0,0.27,0.8238,5.92,53.475,0.08000000000000007,profit_target,370.0,1825.0
2025-11-14,2025-11-19,call_credit,2025-12-26,42,25,0.29,1.0,0.29,0.8141,6.77,53.475,0.13,profit_target,295.0,1775.0
2025-11-17,2025-11-20,call_credit,2025-12-12,25,9,0.55,2.5,0.22,0.7951,6.19,52.1,0.25,profit_target,232.2,1755.0
2025-11-18,2025-11-20,call_credit,2025-12-26,38,25,0.31,1.0,0.31,0.7833,5.77,52.66,0.14,profit_target,320.0,1725.0
2025-11-17,2025-11-21,call_credit,2025-12-12,25,25,0.25,1.0,0.25,0.8231,4.01,52.1,0.09999999999999998,profit_target,270.0,1875.0
2025-11-19,2025-11-24,call_credit,2025-12-26,37,25,0.25,1.0,0.25,0.8364,5.16,50.73,0.18062500000000004,trail,68.44,1875.0
2025-11-21,2025-11-25,call_credit,2026-01-02,42,25,0.32,1.0,0.32,0.8809,16.28,47.97,0.7003049964768328,stop_loss,-1055.76,1700.0
2025-11-20,2025-12-01,call_credit,2025-12-26,36,25,0.29,1.0,0.29,0.8061,6.12,48.96,0.14,profit_target,270.0,1775.0
2025-11-20,2025-12-12,call_credit,2025-12-19,29,25,0.22,1.0,0.22,0.8433,3.04,48.96,0.09999999999999999,profit_target,195.0,1950.0
2026-02-05,2026-02-12,call_credit,2026-03-13,36,25,0.38,1.0,0.38,0.8422,18.33,36.1,0.13,profit_target,520.0,1550.0
2026-02-05,2026-02-12,call_credit,2026-02-20,15,13,0.45,2.0,0.225,0.8679,18.15,36.1,0.12000000000000002,profit_target,374.4,2015.0
2026-03-30,2026-04-06,call_credit,2026-04-24,25,25,0.33,1.0,0.33,0.8045,10.05,37.68,0.29000000000000004,trail,-5.0,1675.0
2026-03-30,2026-04-06,call_credit,2026-05-08,39,25,0.32,1.0,0.32,0.8046,8.94,37.68,0.29237500000000005,trail,-35.94,1700.0
2026-05-13,2026-05-14,put_credit,2026-06-26,44,25,0.34,1.0,0.34,0.732,4.04,45.12,0.14225,profit_target,389.38,1650.0
2026-05-14,2026-05-15,put_credit,2026-06-26,43,25,0.26,1.0,0.26,0.8681,9.63,46.17,0.13,profit_target,220.0,1850.0
2026-05-29,2026-06-01,call_credit,2026-07-10,42,25,0.25,1.0,0.25,0.8599,7.88,41.63,0.11000000000000004,profit_target,245.0,1875.0
2026-06-02,2026-06-04,call_credit,2026-07-10,38,25,0.35,1.0,0.35,0.8149,13.07,38.05,0.07000000000000006,profit_target,595.0,1625.0
2026-06-02,2026-06-05,put_credit,2026-06-26,24,25,0.32,1.0,0.32,0.7481,4.29,38.05,0.8602500000000002,stop_loss,-1455.63,1700.0
2026-06-03,2026-06-05,call_credit,2026-06-26,23,25,0.3,1.0,0.3,0.8098,8.21,37.0,0.07,profit_target,470.0,1750.0
2026-07-29,2026-08-04,call_credit,2026-09-04,37,25,0.25,1.0,0.25,0.8085,3.18,36.0,0.21000000000000008,trail,-5.0,1875.0
2026-07-29,2026-08-11,call_credit,2026-08-28,30,25,0.25,1.0,0.25,0.8309,5.44,36.0,0.09000000000000001,profit_target,295.0,1875.0
