date,equity,spot,realized_equity
2025-10-16,100000.0,61.43,100000.0
2025-10-17,100114.8875,60.47,100000.0
2025-10-20,99915.825,62.93,100205.4
2025-10-21,99999.0875,63.49,100205.4
2025-10-22,100511.16249999999,61.21,100379.7
2025-10-23,100075.2125,62.56,100379.7
2025-10-24,100324.6125,62.83,100379.7
2025-10-27,99598.5625,65.28,100379.7
2025-10-28,99796.4875,64.49,100379.7
2025-10-29,100635.5,62.75,100379.7
2025-10-30,101009.71249999998,60.4,100842.49999999999
2025-10-31,100844.93749999999,62.3,100844.93749999999
2025-11-03,100844.93749999999,60.53,100844.93749999999
2025-11-04,100844.93749999999,57.18,100844.93749999999
2025-11-05,100738.75822990166,58.92,100844.93749999999
2025-11-06,100736.69999999998,57.26,100844.93749999999
2025-11-07,100749.22499999999,58.88,100844.93749999999
2025-11-10,100862.43749999999,60.19,100844.93749999999
2025-11-11,100747.80530533205,58.35,100844.93749999999
2025-11-12,100701.17499999999,57.59,100844.93749999999
2025-11-13,101110.33749999998,55.59,100985.33749999998
2025-11-14,101149.33749999998,53.475,101149.33749999998
2025-11-17,101493.98749999997,52.1,101341.73749999997
2025-11-18,101288.83749999998,52.66,101341.73749999997
2025-11-19,101809.46249999997,50.73,101506.93749999997
2025-11-20,102127.13749999997,48.96,101815.13749999997
2025-11-21,102241.57499999997,47.97,101955.53749999996
2025-11-24,102129.92499999996,50.57,101991.12499999996
2025-11-25,101528.77300493239,49.56,101399.89800493239
2025-11-26,101374.22300493238,51.03,101399.89800493239
2025-11-28,101408.69800493239,51.55,101399.89800493239
2025-12-01,101616.09800493238,48.5,101551.09800493238
2025-12-02,101548.17300493238,51.67,101551.09800493238
2025-12-03,101414.59800493238,52.74,101551.09800493238
2025-12-04,101430.68550493238,52.51,101551.09800493238
2025-12-05,101616.09800493238,50.69,101551.09800493238
2025-12-08,101577.09800493238,51.52,101551.09800493238
2025-12-09,101473.09800493238,52.85,101551.09800493238
2025-12-10,101538.09800493238,52.49,101551.09800493238
2025-12-11,101551.09800493238,52.1,101551.09800493238
2025-12-12,101652.49800493238,51.2,101652.49800493238
2025-12-15,101652.49800493238,48.66,101652.49800493238
2025-12-16,101652.49800493238,49.71,101652.49800493238
2025-12-17,101652.49800493238,48.71,101652.49800493238
2025-12-18,101652.49800493238,47.96,101652.49800493238
2025-12-19,101652.49800493238,49.91,101652.49800493238
2025-12-22,101652.49800493238,50.09,101652.49800493238
2025-12-23,101652.49800493238,49.65,101652.49800493238
2025-12-24,101652.49800493238,49.46,101652.49800493238
2025-12-26,101652.49800493238,49.61,101652.49800493238
2025-12-29,101652.49800493238,49.38,101652.49800493238
2025-12-30,101652.49800493238,49.83,101652.49800493238
2025-12-31,101652.49800493238,49.65,101652.49800493238
2026-01-02,101652.49800493238,50.94,101652.49800493238
2026-01-05,101652.49800493238,53.46,101652.49800493238
2026-01-06,101652.49800493238,52.45,101652.49800493238
2026-01-07,101652.49800493238,51.54,101652.49800493238
2026-01-08,101652.49800493238,51.52,101652.49800493238
2026-01-09,101652.49800493238,51.16,101652.49800493238
2026-01-12,101652.49800493238,51.87,101652.49800493238
2026-01-13,101652.49800493238,53.57,101652.49800493238
2026-01-14,101652.49800493238,55.44,101652.49800493238
2026-01-15,101652.49800493238,54.0,101652.49800493238
2026-01-16,101652.49800493238,54.24,101652.49800493238
2026-01-20,101652.49800493238,50.76,101652.49800493238
2026-01-21,101652.49800493238,51.11,101652.49800493238
2026-01-22,101652.49800493238,50.67,101652.49800493238
2026-01-23,101652.49800493238,50.7,101652.49800493238
2026-01-26,101652.49800493238,49.65,101652.49800493238
2026-01-27,101652.49800493238,50.63,101652.49800493238
2026-01-28,101652.49800493238,50.51,101652.49800493238
2026-01-29,101652.49800493238,47.6,101652.49800493238
2026-01-30,101652.49800493238,47.49,101652.49800493238
2026-02-02,101652.49800493238,44.22,101652.49800493238
2026-02-03,101652.49800493238,43.3,101652.49800493238
2026-02-04,101652.49800493238,41.57,101652.49800493238
2026-02-05,101652.49800493238,36.1,101652.49800493238
2026-02-06,101541.22300493238,39.68,101652.49800493238
2026-02-09,101546.87300493238,40.11,101652.49800493238
2026-02-10,101883.29800493238,38.97,101652.49800493238
2026-02-11,102016.49800493238,38.29,101652.49800493238
2026-02-12,102158.09800493238,37.05,102158.09800493238
2026-02-13,102158.09800493238,38.97,102158.09800493238
2026-02-17,102158.09800493238,38.39,102158.09800493238
2026-02-18,102158.09800493238,37.54,102158.09800493238
2026-02-19,102158.09800493238,38.07,102158.09800493238
2026-02-20,102158.09800493238,38.42,102158.09800493238
2026-02-23,102158.09800493238,36.55,102158.09800493238
2026-02-24,102158.09800493238,36.53,102158.09800493238
2026-02-25,102158.09800493238,39.23,102158.09800493238
2026-02-26,102158.09800493238,38.26,102158.09800493238
2026-02-27,102158.09800493238,37.19,102158.09800493238
2026-03-02,102158.09800493238,39.195,102158.09800493238
2026-03-03,102158.09800493238,38.7,102158.09800493238
2026-03-04,102158.09800493238,41.44,102158.09800493238
2026-03-05,102158.09800493238,40.39,102158.09800493238
2026-03-06,102158.09800493238,38.6,102158.09800493238
2026-03-09,102158.09800493238,39.13,102158.09800493238
2026-03-10,102158.09800493238,39.71,102158.09800493238
2026-03-11,102158.09800493238,40.07,102158.09800493238
2026-03-12,102158.09800493238,39.95,102158.09800493238
2026-03-13,102158.09800493238,40.37,102158.09800493238
2026-03-16,102158.09800493238,41.94,102158.09800493238
2026-03-17,102158.09800493238,42.27,102158.09800493238
2026-03-18,102158.09800493238,40.26,102158.09800493238
2026-03-19,102158.09800493238,39.82,102158.09800493238
2026-03-20,102158.09800493238,39.77,102158.09800493238
2026-03-23,102158.09800493238,40.05,102158.09800493238
2026-03-24,102158.09800493238,39.28,102158.09800493238
2026-03-25,102158.09800493238,40.17,102158.09800493238
2026-03-26,102158.09800493238,38.82,102158.09800493238
2026-03-27,102158.09800493238,37.4,102158.09800493238
2026-03-30,102158.09800493238,37.68,102158.09800493238
2026-03-31,102348.59800493238,38.42,102158.09800493238
2026-04-01,102270.22300493238,38.64,102158.09800493238
2026-04-02,102518.09800493238,37.97,102158.09800493238
2026-04-06,102133.53550493238,39.52,102133.53550493238
2026-04-07,102133.53550493238,39.1,102133.53550493238
2026-04-08,102133.53550493238,40.42,102133.53550493238
2026-04-09,102133.53550493238,40.91,102133.53550493238
2026-04-10,102133.53550493238,41.56,102133.53550493238
2026-04-13,102133.53550493238,41.59,102133.53550493238
2026-04-14,102133.53550493238,42.13,102133.53550493238
2026-04-15,102133.53550493238,42.56,102133.53550493238
2026-04-16,102133.53550493238,42.73,102133.53550493238
2026-04-17,102133.53550493238,43.94,102133.53550493238
2026-04-20,102133.53550493238,43.25,102133.53550493238
2026-04-21,102133.53550493238,42.51,102133.53550493238
2026-04-22,102133.53550493238,44.75,102133.53550493238
2026-04-23,102133.53550493238,44.05,102133.53550493238
2026-04-24,102133.53550493238,44.02,102133.53550493238
2026-04-27,102133.53550493238,43.56,102133.53550493238
2026-04-28,102133.53550493238,43.27,102133.53550493238
2026-04-29,102133.53550493238,42.75,102133.53550493238
2026-04-30,102133.53550493238,43.32,102133.53550493238
2026-05-01,102133.53550493238,44.47,102133.53550493238
2026-05-04,102133.53550493238,45.4,102133.53550493238
2026-05-05,102133.53550493238,46.28,102133.53550493238
2026-05-06,102133.53550493238,46.19,102133.53550493238
2026-05-07,102133.53550493238,45.4,102133.53550493238
2026-05-08,102133.53550493238,45.45,102133.53550493238
2026-05-11,102133.53550493238,46.47,102133.53550493238
2026-05-12,102133.53550493238,45.8,102133.53550493238
2026-05-13,102133.53550493238,45.12,102133.53550493238
2026-05-14,102367.16050493238,46.17,102367.16050493238
2026-05-15,102481.56050493238,44.82,102481.56050493238
2026-05-18,102481.56050493238,43.53,102481.56050493238
2026-05-19,102481.56050493238,43.5,102481.56050493238
2026-05-20,102481.56050493238,43.99,102481.56050493238
2026-05-21,102481.56050493238,44.0,102481.56050493238
2026-05-22,102481.56050493238,42.96,102481.56050493238
2026-05-26,102481.56050493238,42.99,102481.56050493238
2026-05-27,102481.56050493238,42.45,102481.56050493238
2026-05-28,102481.56050493238,41.56,102481.56050493238
2026-05-29,102481.56050493238,41.63,102481.56050493238
2026-06-01,102608.96050493237,40.49,102608.96050493237
2026-06-02,102608.96050493237,38.05,102608.96050493237
2026-06-03,102824.77300493237,37.0,102608.96050493237
2026-06-04,102756.52300493237,36.02,102965.96050493237
2026-06-05,102355.78550493237,34.14,102355.78550493237
2026-06-08,102355.78550493237,35.89,102355.78550493237
2026-06-09,102355.78550493237,35.14,102355.78550493237
2026-06-10,102355.78550493237,35.08,102355.78550493237
2026-06-11,102355.78550493237,36.05,102355.78550493237
2026-06-12,102355.78550493237,36.04,102355.78550493237
2026-06-15,102355.78550493237,37.74,102355.78550493237
2026-06-16,102355.78550493237,37.17,102355.78550493237
2026-06-17,102355.78550493237,36.36,102355.78550493237
2026-06-18,102355.78550493237,35.62,102355.78550493237
2026-06-22,102355.78550493237,36.5,102355.78550493237
2026-06-23,102355.78550493237,35.31,102355.78550493237
2026-06-24,102355.78550493237,33.87,102355.78550493237
2026-06-25,102355.78550493237,33.52,102355.78550493237
2026-06-26,102355.78550493237,33.85,102355.78550493237
