date,equity,spot,realized_equity
2025-10-16,100000.0,61.43,100000.0
2025-10-17,100000.0,60.47,100000.0
2025-10-20,100205.4,62.93,100205.4
2025-10-21,100205.4,63.49,100205.4
2025-10-22,100398.59999999999,61.21,100398.59999999999
2025-10-23,100398.59999999999,62.56,100398.59999999999
2025-10-24,100398.59999999999,62.83,100398.59999999999
2025-10-27,100398.59999999999,65.28,100398.59999999999
2025-10-28,100398.59999999999,64.49,100398.59999999999
2025-10-29,100398.59999999999,62.75,100398.59999999999
2025-10-30,100398.59999999999,60.4,100398.59999999999
2025-10-31,100398.59999999999,62.3,100398.59999999999
2025-11-03,100398.59999999999,60.53,100398.59999999999
2025-11-04,100398.59999999999,57.18,100398.59999999999
2025-11-05,100398.59999999999,58.92,100398.59999999999
2025-11-06,100398.59999999999,57.26,100398.59999999999
2025-11-07,100398.59999999999,58.88,100398.59999999999
2025-11-10,100398.59999999999,60.19,100398.59999999999
2025-11-11,100398.59999999999,58.35,100398.59999999999
2025-11-12,100398.59999999999,57.59,100398.59999999999
2025-11-13,100398.59999999999,55.59,100398.59999999999
2025-11-14,100398.59999999999,53.475,100398.59999999999
2025-11-17,100398.59999999999,52.1,100398.59999999999
2025-11-18,100398.59999999999,52.66,100398.59999999999
2025-11-19,100398.59999999999,50.73,100398.59999999999
2025-11-20,100398.59999999999,48.96,100398.59999999999
2025-11-21,100398.59999999999,47.97,100398.59999999999
2025-11-24,100398.59999999999,50.57,100398.59999999999
2025-11-25,100398.59999999999,49.56,100398.59999999999
2025-11-26,100398.59999999999,51.03,100398.59999999999
2025-11-28,100398.59999999999,51.55,100398.59999999999
2025-12-01,100398.59999999999,48.5,100398.59999999999
2025-12-02,100398.59999999999,51.67,100398.59999999999
2025-12-03,100398.59999999999,52.74,100398.59999999999
2025-12-04,100398.59999999999,52.51,100398.59999999999
2025-12-05,100398.59999999999,50.69,100398.59999999999
2025-12-08,100398.59999999999,51.52,100398.59999999999
2025-12-09,100398.59999999999,52.85,100398.59999999999
2025-12-10,100398.59999999999,52.49,100398.59999999999
2025-12-11,100398.59999999999,52.1,100398.59999999999
2025-12-12,100398.59999999999,51.2,100398.59999999999
2025-12-15,100398.59999999999,48.66,100398.59999999999
2025-12-16,100398.59999999999,49.71,100398.59999999999
2025-12-17,100398.59999999999,48.71,100398.59999999999
2025-12-18,100398.59999999999,47.96,100398.59999999999
2025-12-19,100398.59999999999,49.91,100398.59999999999
2025-12-22,100398.59999999999,50.09,100398.59999999999
2025-12-23,100398.59999999999,49.65,100398.59999999999
2025-12-24,100398.59999999999,49.46,100398.59999999999
2025-12-26,100398.59999999999,49.61,100398.59999999999
2025-12-29,100398.59999999999,49.38,100398.59999999999
2025-12-30,100398.59999999999,49.83,100398.59999999999
2025-12-31,100398.59999999999,49.65,100398.59999999999
2026-01-02,100398.59999999999,50.94,100398.59999999999
2026-01-05,100398.59999999999,53.46,100398.59999999999
2026-01-06,100398.59999999999,52.45,100398.59999999999
2026-01-07,100398.59999999999,51.54,100398.59999999999
2026-01-08,100398.59999999999,51.52,100398.59999999999
2026-01-09,100398.59999999999,51.16,100398.59999999999
2026-01-12,100398.59999999999,51.87,100398.59999999999
2026-01-13,100398.59999999999,53.57,100398.59999999999
2026-01-14,100398.59999999999,55.44,100398.59999999999
2026-01-15,100398.59999999999,54.0,100398.59999999999
2026-01-16,100398.59999999999,54.24,100398.59999999999
2026-01-20,100398.59999999999,50.76,100398.59999999999
2026-01-21,100398.59999999999,51.11,100398.59999999999
2026-01-22,100398.59999999999,50.67,100398.59999999999
2026-01-23,100398.59999999999,50.7,100398.59999999999
2026-01-26,100398.59999999999,49.65,100398.59999999999
2026-01-27,100398.59999999999,50.63,100398.59999999999
2026-01-28,100398.59999999999,50.51,100398.59999999999
2026-01-29,100398.59999999999,47.6,100398.59999999999
2026-01-30,100398.59999999999,47.49,100398.59999999999
2026-02-02,100398.59999999999,44.22,100398.59999999999
2026-02-03,100398.59999999999,43.3,100398.59999999999
2026-02-04,100398.59999999999,41.57,100398.59999999999
2026-02-05,100398.59999999999,36.1,100398.59999999999
2026-02-06,100398.59999999999,39.68,100398.59999999999
2026-02-09,100398.59999999999,40.11,100398.59999999999
2026-02-10,100398.59999999999,38.97,100398.59999999999
2026-02-11,100398.59999999999,38.29,100398.59999999999
2026-02-12,100398.59999999999,37.05,100398.59999999999
2026-02-13,100398.59999999999,38.97,100398.59999999999
2026-02-17,100398.59999999999,38.39,100398.59999999999
2026-02-18,100398.59999999999,37.54,100398.59999999999
2026-02-19,100398.59999999999,38.07,100398.59999999999
2026-02-20,100398.59999999999,38.42,100398.59999999999
2026-02-23,100398.59999999999,36.55,100398.59999999999
2026-02-24,100398.59999999999,36.53,100398.59999999999
2026-02-25,100398.59999999999,39.23,100398.59999999999
2026-02-26,100398.59999999999,38.26,100398.59999999999
2026-02-27,100398.59999999999,37.19,100398.59999999999
2026-03-02,100398.59999999999,39.195,100398.59999999999
2026-03-03,100398.59999999999,38.7,100398.59999999999
2026-03-04,100398.59999999999,41.44,100398.59999999999
2026-03-05,100398.59999999999,40.39,100398.59999999999
2026-03-06,100398.59999999999,38.6,100398.59999999999
2026-03-09,100398.59999999999,39.13,100398.59999999999
2026-03-10,100398.59999999999,39.71,100398.59999999999
2026-03-11,100398.59999999999,40.07,100398.59999999999
2026-03-12,100398.59999999999,39.95,100398.59999999999
2026-03-13,100398.59999999999,40.37,100398.59999999999
2026-03-16,100398.59999999999,41.94,100398.59999999999
2026-03-17,100398.59999999999,42.27,100398.59999999999
2026-03-18,100398.59999999999,40.26,100398.59999999999
2026-03-19,100398.59999999999,39.82,100398.59999999999
2026-03-20,100398.59999999999,39.77,100398.59999999999
2026-03-23,100398.59999999999,40.05,100398.59999999999
2026-03-24,100398.59999999999,39.28,100398.59999999999
2026-03-25,100398.59999999999,40.17,100398.59999999999
2026-03-26,100398.59999999999,38.82,100398.59999999999
2026-03-27,100398.59999999999,37.4,100398.59999999999
2026-03-30,100398.59999999999,37.68,100398.59999999999
2026-03-31,100398.59999999999,38.42,100398.59999999999
2026-04-01,100398.59999999999,38.64,100398.59999999999
2026-04-02,100398.59999999999,37.97,100398.59999999999
2026-04-06,100398.59999999999,39.52,100398.59999999999
