date,equity,spot,realized_equity
2025-10-16,100000.0,61.43,100000.0
2025-10-17,100114.8875,60.47,100000.0
2025-10-20,99915.825,62.93,100205.4
2025-10-21,99999.0875,63.49,100205.4
2025-10-22,100511.16249999999,61.21,100379.7
2025-10-23,100075.2125,62.56,100379.7
2025-10-24,100324.6125,62.83,100379.7
2025-10-27,99598.5625,65.28,100379.7
2025-10-28,99796.4875,64.49,100379.7
2025-10-29,100635.5,62.75,100379.7
2025-10-30,101009.71249999998,60.4,100842.49999999999
2025-10-31,100844.93749999999,62.3,100844.93749999999
2025-11-03,100844.93749999999,60.53,100844.93749999999
2025-11-04,100844.93749999999,57.18,100844.93749999999
2025-11-05,100738.75822990166,58.92,100844.93749999999
2025-11-06,100736.69999999998,57.26,100844.93749999999
2025-11-07,100749.22499999999,58.88,100844.93749999999
2025-11-10,100862.43749999999,60.19,100844.93749999999
2025-11-11,100747.80530533205,58.35,100844.93749999999
2025-11-12,100701.17499999999,57.59,100844.93749999999
2025-11-13,101110.33749999998,55.59,100985.33749999998
2025-11-14,101149.33749999998,53.475,101149.33749999998
2025-11-17,101493.98749999997,52.1,101341.73749999997
2025-11-18,101513.92499999997,52.66,101341.73749999997
2025-11-19,101942.47499999998,50.73,101506.93749999997
2025-11-20,101784.77499999997,48.96,101506.93749999997
2025-11-21,101657.56249999996,47.97,101868.53749999996
2025-11-24,102330.56249999996,50.57,102194.93749999996
2025-11-25,102078.38550493239,49.56,101603.71050493239
2025-11-26,101975.1605049324,51.03,101517.4355049324
2025-11-28,102151.54800493238,51.55,101849.58550493239
2025-12-01,101906.32300493239,48.5,101906.32300493239
2025-12-02,101906.32300493239,51.67,101906.32300493239
2025-12-03,101906.32300493239,52.74,101906.32300493239
2025-12-04,101906.32300493239,52.51,101906.32300493239
2025-12-05,101906.32300493239,50.69,101906.32300493239
2025-12-08,101906.32300493239,51.52,101906.32300493239
2025-12-09,101906.32300493239,52.85,101906.32300493239
2025-12-10,101906.32300493239,52.49,101906.32300493239
2025-12-11,101906.32300493239,52.1,101906.32300493239
2025-12-12,101906.32300493239,51.2,101906.32300493239
2025-12-15,101906.32300493239,48.66,101906.32300493239
2025-12-16,101906.32300493239,49.71,101906.32300493239
2025-12-17,101906.32300493239,48.71,101906.32300493239
2025-12-18,101906.32300493239,47.96,101906.32300493239
2025-12-19,101906.32300493239,49.91,101906.32300493239
2025-12-22,101906.32300493239,50.09,101906.32300493239
2025-12-23,101906.32300493239,49.65,101906.32300493239
2025-12-24,101906.32300493239,49.46,101906.32300493239
2025-12-26,101906.32300493239,49.61,101906.32300493239
2025-12-29,101906.32300493239,49.38,101906.32300493239
2025-12-30,101906.32300493239,49.83,101906.32300493239
2025-12-31,101906.32300493239,49.65,101906.32300493239
2026-01-02,101906.32300493239,50.94,101906.32300493239
2026-01-05,101906.32300493239,53.46,101906.32300493239
2026-01-06,101906.32300493239,52.45,101906.32300493239
2026-01-07,101906.32300493239,51.54,101906.32300493239
2026-01-08,101906.32300493239,51.52,101906.32300493239
2026-01-09,101906.32300493239,51.16,101906.32300493239
2026-01-12,101906.32300493239,51.87,101906.32300493239
2026-01-13,101906.32300493239,53.57,101906.32300493239
2026-01-14,101906.32300493239,55.44,101906.32300493239
2026-01-15,101906.32300493239,54.0,101906.32300493239
2026-01-16,101906.32300493239,54.24,101906.32300493239
2026-01-20,101906.32300493239,50.76,101906.32300493239
2026-01-21,101906.32300493239,51.11,101906.32300493239
2026-01-22,101906.32300493239,50.67,101906.32300493239
2026-01-23,101906.32300493239,50.7,101906.32300493239
2026-01-26,101906.32300493239,49.65,101906.32300493239
2026-01-27,101906.32300493239,50.63,101906.32300493239
2026-01-28,101906.32300493239,50.51,101906.32300493239
2026-01-29,101906.32300493239,47.6,101906.32300493239
2026-01-30,101906.32300493239,47.49,101906.32300493239
2026-02-02,101906.32300493239,44.22,101906.32300493239
2026-02-03,101906.32300493239,43.3,101906.32300493239
2026-02-04,101906.32300493239,41.57,101906.32300493239
2026-02-05,101636.5480049324,36.1,101906.32300493239
2026-02-06,102073.94800493239,39.68,101906.32300493239
2026-02-09,102380.03550493238,40.11,101906.32300493239
2026-02-10,102470.6855049324,38.97,102015.89800493239
2026-02-11,102663.89800493239,38.29,102015.89800493239
2026-02-12,102842.89800493239,37.05,102842.89800493239
2026-02-13,102842.89800493239,38.97,102842.89800493239
2026-02-17,102842.89800493239,38.39,102842.89800493239
2026-02-18,102842.89800493239,37.54,102842.89800493239
2026-02-19,102842.89800493239,38.07,102842.89800493239
2026-02-20,102842.89800493239,38.42,102842.89800493239
2026-02-23,102842.89800493239,36.55,102842.89800493239
2026-02-24,102842.89800493239,36.53,102842.89800493239
2026-02-25,102842.89800493239,39.23,102842.89800493239
2026-02-26,102842.89800493239,38.26,102842.89800493239
2026-02-27,102842.89800493239,37.19,102842.89800493239
2026-03-02,102842.89800493239,39.195,102842.89800493239
2026-03-03,102842.89800493239,38.7,102842.89800493239
2026-03-04,102842.89800493239,41.44,102842.89800493239
2026-03-05,102842.89800493239,40.39,102842.89800493239
2026-03-06,102842.89800493239,38.6,102842.89800493239
2026-03-09,102842.89800493239,39.13,102842.89800493239
2026-03-10,102842.89800493239,39.71,102842.89800493239
2026-03-11,102842.89800493239,40.07,102842.89800493239
2026-03-12,102842.89800493239,39.95,102842.89800493239
2026-03-13,102842.89800493239,40.37,102842.89800493239
2026-03-16,102842.89800493239,41.94,102842.89800493239
2026-03-17,102842.89800493239,42.27,102842.89800493239
2026-03-18,102842.89800493239,40.26,102842.89800493239
2026-03-19,102842.89800493239,39.82,102842.89800493239
2026-03-20,102842.89800493239,39.77,102842.89800493239
2026-03-23,102842.89800493239,40.05,102842.89800493239
2026-03-24,102842.89800493239,39.28,102842.89800493239
2026-03-25,102842.89800493239,40.17,102842.89800493239
2026-03-26,102842.89800493239,38.82,102842.89800493239
2026-03-27,102842.89800493239,37.4,102842.89800493239
2026-03-30,102842.89800493239,37.68,102842.89800493239
2026-03-31,103033.39800493239,38.42,102842.89800493239
2026-04-01,102955.02300493239,38.64,102842.89800493239
2026-04-02,103202.89800493239,37.97,102842.89800493239
2026-04-06,102818.33550493239,39.52,102818.33550493239
2026-04-07,102818.33550493239,39.1,102818.33550493239
2026-04-08,102818.33550493239,40.42,102818.33550493239
2026-04-09,102818.33550493239,40.91,102818.33550493239
2026-04-10,102818.33550493239,41.56,102818.33550493239
2026-04-13,102818.33550493239,41.59,102818.33550493239
2026-04-14,102818.33550493239,42.13,102818.33550493239
2026-04-15,102818.33550493239,42.56,102818.33550493239
2026-04-16,102818.33550493239,42.73,102818.33550493239
2026-04-17,102818.33550493239,43.94,102818.33550493239
2026-04-20,102818.33550493239,43.25,102818.33550493239
2026-04-21,102818.33550493239,42.51,102818.33550493239
2026-04-22,102818.33550493239,44.75,102818.33550493239
2026-04-23,102818.33550493239,44.05,102818.33550493239
2026-04-24,102818.33550493239,44.02,102818.33550493239
2026-04-27,102818.33550493239,43.56,102818.33550493239
2026-04-28,102818.33550493239,43.27,102818.33550493239
2026-04-29,102818.33550493239,42.75,102818.33550493239
2026-04-30,102818.33550493239,43.32,102818.33550493239
2026-05-01,102818.33550493239,44.47,102818.33550493239
2026-05-04,102818.33550493239,45.4,102818.33550493239
2026-05-05,102818.33550493239,46.28,102818.33550493239
2026-05-06,102818.33550493239,46.19,102818.33550493239
2026-05-07,102818.33550493239,45.4,102818.33550493239
2026-05-08,102818.33550493239,45.45,102818.33550493239
2026-05-11,102818.33550493239,46.47,102818.33550493239
2026-05-12,102818.33550493239,45.8,102818.33550493239
2026-05-13,102818.33550493239,45.12,102818.33550493239
2026-05-14,103091.89800493239,46.17,103051.96050493239
2026-05-15,103254.89800493239,44.82,103166.36050493238
2026-05-18,103323.41050493238,43.53,103166.36050493238
2026-05-19,103242.29800493238,43.5,103166.36050493238
2026-05-20,103416.78550493238,43.99,103166.36050493238
2026-05-21,103372.79800493238,44.0,103166.36050493238
2026-05-22,103515.67300493238,42.96,103166.36050493238
2026-05-26,103565.33550493239,42.99,103166.36050493238
2026-05-27,103408.37300493238,42.45,103212.37300493238
2026-05-28,103405.57300493238,41.56,103405.57300493238
2026-05-29,103405.57300493238,41.63,103405.57300493238
2026-06-01,103532.97300493237,40.49,103532.97300493237
2026-06-02,103532.97300493237,38.05,103532.97300493237
2026-06-03,103748.78550493237,37.0,103532.97300493237
2026-06-04,103680.53550493237,36.02,103889.97300493237
2026-06-05,103279.79800493237,34.14,103279.79800493237
2026-06-08,103585.39800493236,35.89,103585.39800493236
2026-06-09,103585.39800493236,35.14,103585.39800493236
2026-06-10,103585.39800493236,35.08,103585.39800493236
2026-06-11,103585.39800493236,36.05,103585.39800493236
2026-06-12,103585.39800493236,36.04,103585.39800493236
2026-06-15,103585.39800493236,37.74,103585.39800493236
2026-06-16,103585.39800493236,37.17,103585.39800493236
2026-06-17,103585.39800493236,36.36,103585.39800493236
2026-06-18,103585.39800493236,35.62,103585.39800493236
2026-06-22,103585.39800493236,36.5,103585.39800493236
2026-06-23,103585.39800493236,35.31,103585.39800493236
2026-06-24,103585.39800493236,33.87,103585.39800493236
2026-06-25,103585.39800493236,33.52,103585.39800493236
2026-06-26,103585.39800493236,33.85,103585.39800493236
