entry,exit,structure,expiry,dte_at_entry,qty,credit,width,credit_ratio,pop,ev_per_ct,entry_spot,exit_debit,reason,pnl,risk
2025-10-17,2025-10-20,put_credit,2025-11-07,21,13,0.26,1.0,0.26,0.9342,15.82,60.47,0.06,profit_target,205.4,962.0
2025-10-20,2025-10-22,call_credit,2025-11-14,25,14,0.33,1.0,0.33,0.7856,8.05,62.93,0.1635000000000001,profit_target,174.3,938.0
2025-10-16,2025-10-30,call_credit,2025-11-07,22,13,0.27,1.0,0.27,0.8121,5.0,61.43,0.09000000000000002,profit_target,179.4,949.0
2025-10-17,2025-10-30,call_credit,2025-11-14,28,13,0.25,1.0,0.25,0.8284,4.54,60.47,0.12000000000000005,profit_target,114.4,975.0
2025-10-22,2025-10-30,call_credit,2025-11-07,16,5,0.56,2.5,0.224,0.8048,10.59,61.21,0.18000000000000002,profit_target,169.0,970.0
2025-10-16,2025-10-31,call_credit,2025-11-28,43,13,0.28,1.0,0.28,0.8163,6.08,61.43,0.23612500000000003,trail,2.44,936.0
2025-11-04,2025-11-13,call_credit,2025-12-12,38,13,0.24,1.0,0.24,0.8739,7.73,57.18,0.09000000000000002,profit_target,140.4,988.0
2025-11-04,2025-11-14,call_credit,2025-12-12,38,5,0.58,2.5,0.232,0.8059,9.87,57.18,0.21000000000000002,profit_target,164.0,960.0
2025-11-14,2025-11-17,call_credit,2025-12-12,28,13,0.27,1.0,0.27,0.8238,5.92,53.475,0.08000000000000007,profit_target,192.4,949.0
2025-11-14,2025-11-19,call_credit,2025-12-26,42,14,0.29,1.0,0.29,0.8141,6.77,53.475,0.13,profit_target,165.2,994.0
2025-11-17,2025-11-21,call_credit,2025-12-12,25,13,0.25,1.0,0.25,0.8231,4.01,52.1,0.09999999999999998,profit_target,140.4,975.0
2025-11-18,2025-11-21,call_credit,2026-01-02,45,14,0.28,1.0,0.28,0.7989,4.34,52.66,0.07999999999999996,profit_target,221.2,1008.0
2025-11-17,2025-11-24,put_credit,2025-12-26,39,17,0.42,1.0,0.42,0.7048,8.66,52.1,0.18599999999999994,profit_target,326.4,986.0
2025-11-21,2025-11-25,call_credit,2026-01-02,42,14,0.32,1.0,0.32,0.8809,16.28,47.97,0.7003049964768328,stop_loss,-591.23,952.0
2025-11-21,2025-11-26,call_credit,2026-01-02,42,14,0.29,1.0,0.29,0.8418,9.55,47.97,0.30962500000000004,trail,-86.28,994.0
2025-11-19,2025-11-28,iron_condor,2025-12-26,37,7,0.73,2.0,0.365,0.6719,14.48,50.73,0.1715000000000001,profit_target,332.15,889.0
2025-11-24,2025-12-01,put_credit,2025-12-26,32,17,0.41,1.0,0.41,0.698,7.06,50.57,0.33462499999999995,trail,56.74,1003.0
2026-02-04,2026-02-10,put_credit,2026-03-13,37,18,0.45,1.0,0.45,0.7752,18.56,41.57,0.3471249999999997,trail,109.58,990.0
2026-02-05,2026-02-12,call_credit,2026-03-13,36,16,0.38,1.0,0.38,0.8422,18.33,36.1,0.13,profit_target,332.8,992.0
2026-02-05,2026-02-12,iron_condor,2026-02-20,15,7,1.19,2.5,0.476,0.7027,36.35,36.1,0.4,profit_target,494.2,917.0
2026-03-30,2026-04-06,call_credit,2026-04-24,25,15,0.33,1.0,0.33,0.8045,10.05,37.68,0.29000000000000004,trail,-3.0,1005.0
2026-03-30,2026-04-06,call_credit,2026-05-08,39,15,0.32,1.0,0.32,0.8046,8.94,37.68,0.29237500000000005,trail,-21.56,1020.0
2026-05-13,2026-05-14,put_credit,2026-06-26,44,15,0.34,1.0,0.34,0.732,4.04,45.12,0.14225,profit_target,233.63,990.0
2026-05-14,2026-05-15,put_credit,2026-06-26,43,13,0.26,1.0,0.26,0.8681,9.63,46.17,0.13,profit_target,114.4,962.0
2026-05-13,2026-05-27,iron_condor,2026-06-12,30,9,0.91,2.0,0.455,0.5952,3.15,45.12,0.7748749999999999,trail,46.01,981.0
2026-05-22,2026-05-28,call_credit,2026-06-26,35,14,0.3,1.0,0.3,0.8244,9.3,42.96,0.12000000000000002,profit_target,193.2,980.0
2026-05-29,2026-06-01,call_credit,2026-07-10,42,13,0.25,1.0,0.25,0.8599,7.88,41.63,0.11000000000000004,profit_target,127.4,975.0
2026-06-02,2026-06-04,call_credit,2026-07-10,38,15,0.35,1.0,0.35,0.8149,13.07,38.05,0.07000000000000006,profit_target,357.0,975.0
2026-06-02,2026-06-05,put_credit,2026-06-26,24,15,0.32,1.0,0.32,0.7481,4.29,38.05,0.8602500000000002,stop_loss,-873.38,1020.0
2026-06-03,2026-06-05,call_credit,2026-06-26,23,14,0.3,1.0,0.3,0.8098,8.21,37.0,0.07,profit_target,263.2,980.0
2026-06-05,2026-06-08,put_credit,2026-07-10,35,14,0.31,1.0,0.31,0.7984,8.01,34.14,0.15000000000000002,profit_target,165.2,966.0
2026-06-05,2026-06-08,put_credit,2026-06-26,21,13,0.24,1.0,0.24,0.8611,7.74,34.14,0.09000000000000002,profit_target,140.4,988.0
2026-07-29,2026-08-04,call_credit,2026-09-04,37,13,0.25,1.0,0.25,0.8085,3.18,36.0,0.21000000000000008,trail,-2.6,975.0
2026-07-29,2026-08-11,call_credit,2026-08-28,30,13,0.25,1.0,0.25,0.8309,5.44,36.0,0.09000000000000001,profit_target,153.4,975.0
