date,equity,spot,realized_equity
2025-10-16,100000.0,61.43,100000.0
2025-10-17,100114.8875,60.47,100000.0
2025-10-20,99915.825,62.93,100205.4
2025-10-21,99999.0875,63.49,100205.4
2025-10-22,100511.16249999999,61.21,100379.7
2025-10-23,100075.2125,62.56,100379.7
2025-10-24,100324.6125,62.83,100379.7
2025-10-27,99598.5625,65.28,100379.7
2025-10-28,99796.4875,64.49,100379.7
2025-10-29,100635.5,62.75,100379.7
2025-10-30,101009.71249999998,60.4,100842.49999999999
2025-10-31,100844.93749999999,62.3,100844.93749999999
2025-11-03,100844.93749999999,60.53,100844.93749999999
2025-11-04,100844.93749999999,57.18,100844.93749999999
2025-11-05,100738.75822990166,58.92,100844.93749999999
2025-11-06,100736.69999999998,57.26,100844.93749999999
2025-11-07,100749.22499999999,58.88,100844.93749999999
2025-11-10,100862.43749999999,60.19,100844.93749999999
2025-11-11,100747.80530533205,58.35,100844.93749999999
2025-11-12,100701.17499999999,57.59,100844.93749999999
2025-11-13,101110.33749999998,55.59,100985.33749999998
2025-11-14,101149.33749999998,53.475,101149.33749999998
2025-11-17,101493.98749999997,52.1,101341.73749999997
2025-11-18,101288.83749999998,52.66,101341.73749999997
2025-11-19,101809.46249999997,50.73,101506.93749999997
2025-11-20,102127.13749999997,48.96,101815.13749999997
2025-11-21,102241.57499999997,47.97,101955.53749999996
2025-11-24,102129.92499999996,50.57,101991.12499999996
2025-11-25,101587.57300493239,49.56,101991.12499999996
2025-11-26,102033.34999999996,51.03,101991.12499999996
2025-11-28,102157.42499999996,51.55,101991.12499999996
2025-12-01,102386.52499999995,48.5,102321.52499999995
2025-12-02,102318.59999999995,51.67,102321.52499999995
2025-12-03,102185.02499999995,52.74,102321.52499999995
2025-12-04,102201.11249999994,52.51,102321.52499999995
2025-12-05,102386.52499999995,50.69,102321.52499999995
2025-12-08,102347.52499999995,51.52,102321.52499999995
2025-12-09,102243.52499999995,52.85,102321.52499999995
2025-12-10,102308.52499999995,52.49,102321.52499999995
2025-12-11,102321.52499999995,52.1,102321.52499999995
2025-12-12,102422.92499999994,51.2,102422.92499999994
2025-12-15,102422.92499999994,48.66,102422.92499999994
2025-12-16,102422.92499999994,49.71,102422.92499999994
2025-12-17,102422.92499999994,48.71,102422.92499999994
2025-12-18,102422.92499999994,47.96,102422.92499999994
2025-12-19,102422.92499999994,49.91,102422.92499999994
2025-12-22,102422.92499999994,50.09,102422.92499999994
2025-12-23,102422.92499999994,49.65,102422.92499999994
2025-12-24,102422.92499999994,49.46,102422.92499999994
2025-12-26,102422.92499999994,49.61,102422.92499999994
2025-12-29,102422.92499999994,49.38,102422.92499999994
2025-12-30,102422.92499999994,49.83,102422.92499999994
2025-12-31,102422.92499999994,49.65,102422.92499999994
2026-01-02,102422.92499999994,50.94,102422.92499999994
2026-01-05,102422.92499999994,53.46,102422.92499999994
2026-01-06,102422.92499999994,52.45,102422.92499999994
2026-01-07,102422.92499999994,51.54,102422.92499999994
2026-01-08,102422.92499999994,51.52,102422.92499999994
2026-01-09,102422.92499999994,51.16,102422.92499999994
2026-01-12,102422.92499999994,51.87,102422.92499999994
2026-01-13,102422.92499999994,53.57,102422.92499999994
2026-01-14,102422.92499999994,55.44,102422.92499999994
2026-01-15,102422.92499999994,54.0,102422.92499999994
2026-01-16,102422.92499999994,54.24,102422.92499999994
2026-01-20,102422.92499999994,50.76,102422.92499999994
2026-01-21,102422.92499999994,51.11,102422.92499999994
2026-01-22,102422.92499999994,50.67,102422.92499999994
2026-01-23,102422.92499999994,50.7,102422.92499999994
2026-01-26,102422.92499999994,49.65,102422.92499999994
2026-01-27,102422.92499999994,50.63,102422.92499999994
2026-01-28,102422.92499999994,50.51,102422.92499999994
2026-01-29,102422.92499999994,47.6,102422.92499999994
2026-01-30,102422.92499999994,47.49,102422.92499999994
2026-02-02,102422.92499999994,44.22,102422.92499999994
2026-02-03,102422.92499999994,43.3,102422.92499999994
2026-02-04,102422.92499999994,41.57,102422.92499999994
2026-02-05,102422.92499999994,36.1,102422.92499999994
2026-02-06,102311.64999999995,39.68,102422.92499999994
2026-02-09,102317.29999999994,40.11,102422.92499999994
2026-02-10,102653.72499999995,38.97,102422.92499999994
2026-02-11,102786.92499999994,38.29,102422.92499999994
2026-02-12,102928.52499999995,37.05,102928.52499999995
2026-02-13,102928.52499999995,38.97,102928.52499999995
2026-02-17,102928.52499999995,38.39,102928.52499999995
2026-02-18,102928.52499999995,37.54,102928.52499999995
2026-02-19,102928.52499999995,38.07,102928.52499999995
2026-02-20,102928.52499999995,38.42,102928.52499999995
2026-02-23,102928.52499999995,36.55,102928.52499999995
2026-02-24,102928.52499999995,36.53,102928.52499999995
2026-02-25,102928.52499999995,39.23,102928.52499999995
2026-02-26,102928.52499999995,38.26,102928.52499999995
2026-02-27,102928.52499999995,37.19,102928.52499999995
2026-03-02,102928.52499999995,39.195,102928.52499999995
2026-03-03,102928.52499999995,38.7,102928.52499999995
2026-03-04,102928.52499999995,41.44,102928.52499999995
2026-03-05,102928.52499999995,40.39,102928.52499999995
2026-03-06,102928.52499999995,38.6,102928.52499999995
2026-03-09,102928.52499999995,39.13,102928.52499999995
2026-03-10,102928.52499999995,39.71,102928.52499999995
2026-03-11,102928.52499999995,40.07,102928.52499999995
2026-03-12,102928.52499999995,39.95,102928.52499999995
2026-03-13,102928.52499999995,40.37,102928.52499999995
2026-03-16,102928.52499999995,41.94,102928.52499999995
2026-03-17,102928.52499999995,42.27,102928.52499999995
2026-03-18,102928.52499999995,40.26,102928.52499999995
2026-03-19,102928.52499999995,39.82,102928.52499999995
2026-03-20,102928.52499999995,39.77,102928.52499999995
2026-03-23,102928.52499999995,40.05,102928.52499999995
2026-03-24,102928.52499999995,39.28,102928.52499999995
2026-03-25,102928.52499999995,40.17,102928.52499999995
2026-03-26,102928.52499999995,38.82,102928.52499999995
2026-03-27,102928.52499999995,37.4,102928.52499999995
2026-03-30,102928.52499999995,37.68,102928.52499999995
2026-03-31,103119.02499999995,38.42,102928.52499999995
2026-04-01,103040.64999999995,38.64,102928.52499999995
2026-04-02,103288.52499999995,37.97,102928.52499999995
2026-04-06,102903.96249999995,39.52,102903.96249999995
2026-04-07,102903.96249999995,39.1,102903.96249999995
2026-04-08,102903.96249999995,40.42,102903.96249999995
2026-04-09,102903.96249999995,40.91,102903.96249999995
2026-04-10,102903.96249999995,41.56,102903.96249999995
2026-04-13,102903.96249999995,41.59,102903.96249999995
2026-04-14,102903.96249999995,42.13,102903.96249999995
2026-04-15,102903.96249999995,42.56,102903.96249999995
2026-04-16,102903.96249999995,42.73,102903.96249999995
2026-04-17,102903.96249999995,43.94,102903.96249999995
2026-04-20,102903.96249999995,43.25,102903.96249999995
2026-04-21,102903.96249999995,42.51,102903.96249999995
2026-04-22,102903.96249999995,44.75,102903.96249999995
2026-04-23,102903.96249999995,44.05,102903.96249999995
2026-04-24,102903.96249999995,44.02,102903.96249999995
2026-04-27,102903.96249999995,43.56,102903.96249999995
2026-04-28,102903.96249999995,43.27,102903.96249999995
2026-04-29,102903.96249999995,42.75,102903.96249999995
2026-04-30,102903.96249999995,43.32,102903.96249999995
2026-05-01,102903.96249999995,44.47,102903.96249999995
2026-05-04,102903.96249999995,45.4,102903.96249999995
2026-05-05,102903.96249999995,46.28,102903.96249999995
2026-05-06,102903.96249999995,46.19,102903.96249999995
2026-05-07,102903.96249999995,45.4,102903.96249999995
2026-05-08,102903.96249999995,45.45,102903.96249999995
2026-05-11,102903.96249999995,46.47,102903.96249999995
2026-05-12,102903.96249999995,45.8,102903.96249999995
2026-05-13,102903.96249999995,45.12,102903.96249999995
2026-05-14,103137.58749999995,46.17,103137.58749999995
2026-05-15,103251.98749999994,44.82,103251.98749999994
2026-05-18,103251.98749999994,43.53,103251.98749999994
2026-05-19,103251.98749999994,43.5,103251.98749999994
2026-05-20,103251.98749999994,43.99,103251.98749999994
2026-05-21,103251.98749999994,44.0,103251.98749999994
2026-05-22,103251.98749999994,42.96,103251.98749999994
2026-05-26,103251.98749999994,42.99,103251.98749999994
2026-05-27,103251.98749999994,42.45,103251.98749999994
2026-05-28,103251.98749999994,41.56,103251.98749999994
2026-05-29,103251.98749999994,41.63,103251.98749999994
2026-06-01,103379.38749999994,40.49,103379.38749999994
2026-06-02,103379.38749999994,38.05,103379.38749999994
2026-06-03,103595.19999999994,37.0,103379.38749999994
2026-06-04,103526.94999999994,36.02,103736.38749999994
2026-06-05,103126.21249999994,34.14,103126.21249999994
2026-06-08,103126.21249999994,35.89,103126.21249999994
2026-06-09,103126.21249999994,35.14,103126.21249999994
2026-06-10,103126.21249999994,35.08,103126.21249999994
2026-06-11,103126.21249999994,36.05,103126.21249999994
2026-06-12,103126.21249999994,36.04,103126.21249999994
2026-06-15,103126.21249999994,37.74,103126.21249999994
2026-06-16,103126.21249999994,37.17,103126.21249999994
2026-06-17,103126.21249999994,36.36,103126.21249999994
2026-06-18,103126.21249999994,35.62,103126.21249999994
2026-06-22,103126.21249999994,36.5,103126.21249999994
2026-06-23,103126.21249999994,35.31,103126.21249999994
2026-06-24,103126.21249999994,33.87,103126.21249999994
2026-06-25,103126.21249999994,33.52,103126.21249999994
2026-06-26,103126.21249999994,33.85,103126.21249999994
